Jahr;Monat;Herkunftsland_24Auspr;Herkunftsland_05Auspr;Herkunftsland_D/A;Tourismus_Ankünfte;Tourismus_Übernachtungen
2001;03;Polen;Europa ohne Deutschland;Ausland;270;544
2001;03;Schweden;Europa ohne Deutschland;Ausland;132;196
2001;03;Schweiz;Europa ohne Deutschland;Ausland;608;1493
2001;03;Russland;Europa ohne Deutschland;Ausland;515;1063
2001;03;Spanien;Europa ohne Deutschland;Ausland;127;198
2001;03;Tschechische Republik;Europa ohne Deutschland;Ausland;137;255
2001;03;Großbritannien;Europa ohne Deutschland;Ausland;740;1711
2001;03;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;391;944
2001;03;afrikanische Länder;Sonst. Ausland;Ausland;42;137
2001;03;USA;Amerika;Ausland;1473;3569
2001;03;Kanada;Amerika;Ausland;98;190
2001;03;amerik. Länder (o.USA, Kanada);Amerika;Ausland;145;256
2001;03;China;Asien;Ausland;99;164
2001;03;Japan;Asien;Ausland;1135;2285
2001;03;asiatische Länder (o.China, Japan);Asien;Ausland;205;607
2001;03;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;98;182
2001;03;Ausländer ohne Angabe;Sonst. Ausland;Ausland;131;359
2001;04;Deutschland;Deutschland;Deutschland;88034;200279
2001;04;Belgien;Europa ohne Deutschland;Ausland;327;802
2001;04;Dänemark;Europa ohne Deutschland;Ausland;641;932
2001;04;Frankreich;Europa ohne Deutschland;Ausland;595;1139
2001;04;Italien;Europa ohne Deutschland;Ausland;724;1175
2001;04;Niederlande;Europa ohne Deutschland;Ausland;602;1452
2001;04;Österreich;Europa ohne Deutschland;Ausland;1182;2624
2001;04;Polen;Europa ohne Deutschland;Ausland;208;347
2001;04;Schweden;Europa ohne Deutschland;Ausland;633;961
2001;04;Schweiz;Europa ohne Deutschland;Ausland;1092;2834
2001;04;Russland;Europa ohne Deutschland;Ausland;427;1099
2001;04;Spanien;Europa ohne Deutschland;Ausland;197;334
2001;04;Tschechische Republik;Europa ohne Deutschland;Ausland;144;370
2001;04;Großbritannien;Europa ohne Deutschland;Ausland;756;1616
2001;04;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;784;1848
2001;04;afrikanische Länder;Sonst. Ausland;Ausland;45;148
2001;04;USA;Amerika;Ausland;1913;4314
2001;04;Kanada;Amerika;Ausland;138;276
2001;04;amerik. Länder (o.USA, Kanada);Amerika;Ausland;429;570
2001;04;China;Asien;Ausland;152;162
2001;04;Japan;Asien;Ausland;1741;2966
2001;04;asiatische Länder (o.China, Japan);Asien;Ausland;256;563
2001;04;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;147;256
2001;04;Ausländer ohne Angabe;Sonst. Ausland;Ausland;207;345
2001;05;Deutschland;Deutschland;Deutschland;109165;249428
2001;05;Belgien;Europa ohne Deutschland;Ausland;447;794
2001;05;Dänemark;Europa ohne Deutschland;Ausland;466;691
2001;05;Frankreich;Europa ohne Deutschland;Ausland;792;1599
2001;05;Italien;Europa ohne Deutschland;Ausland;705;1359
2001;05;Niederlande;Europa ohne Deutschland;Ausland;709;1526
2001;05;Österreich;Europa ohne Deutschland;Ausland;1291;3021
2001;05;Polen;Europa ohne Deutschland;Ausland;306;606
2001;05;Schweden;Europa ohne Deutschland;Ausland;618;837
2001;05;Schweiz;Europa ohne Deutschland;Ausland;1671;4539
2001;05;Russland;Europa ohne Deutschland;Ausland;587;1169
2001;05;Spanien;Europa ohne Deutschland;Ausland;256;401
2001;05;Tschechische Republik;Europa ohne Deutschland;Ausland;173;352
2001;05;Großbritannien;Europa ohne Deutschland;Ausland;1213;2411
2001;05;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;845;2258
2001;05;afrikanische Länder;Sonst. Ausland;Ausland;49;187
2001;05;USA;Amerika;Ausland;3002;6795
2001;05;Kanada;Amerika;Ausland;257;510
2001;05;amerik. Länder (o.USA, Kanada);Amerika;Ausland;344;767
2001;05;China;Asien;Ausland;107;126
2001;05;Japan;Asien;Ausland;2576;4277
2001;05;asiatische Länder (o.China, Japan);Asien;Ausland;418;1127
