Jahr;Monat;Flugzeugbewegungen - gesamt;Flugzeugbewegungen - Gew. Verkehr - gesamt;Flugzeugbewegungen - Gew. Verkehr - Landungen;Flugzeugbewegungen - Gew. Verkehr - Starts;Flugzeugbewegungen - Gew. Verkehr - MTOW (in t);Flugzeugbewegungen - Gew. Verkehr - Passagierflüge;Flugzeugbewegungen - Gew. Verkehr - Passagierflüge, dar. Linie/Touristik;Flugzeugbewegungen - Gew. Verkehr - Fracht und Postflüge;Flugzeugbewegungen - Gew. Verkehr - Übriger gewerblicher Verkehr (bis einschl. 2013);Flugzeugbewegungen - Nichtgew. Verkehr - gesamt;Flugzeugbewegungen - Nichtgew. Verkehr - Werkverkehr;Flugzeugbewegungen - Nichtgew. Verkehr - Übriger nichtgewerbl. Verkehr;Fluggäste - gesamt;Fluggäste - Gew. Verkehr - gesamt;Fluggäste - Gew. Verkehr - Lokalaufkommen;Fluggäste - Gew. Verkehr - Lokalaufkommen, dav. Aussteiger;Fluggäste - Gew. Verkehr - Lokalaufkommen, dav. Einsteiger;Fluggäste - Gew. Verkehr - Transitaufkommen;Fluggäste - Gew. Verkehr - Aufkommen Inland;Fluggäste - Gew. Verkehr - Aufkommen Ausland;Fluggäste - Nichtgew. Verkehr - gesamt;Luftfracht/Luftpost - gesamt (in t) (ab 2016);Luftfracht - gesamt (in t);Luftfracht - Umschlag (an + ab) (in t);Luftfracht - Umschlag (an + ab), dav. Ausladungen (in t);Luftfracht - Umschlag (an + ab), dav. Einladungen (in t);Luftfracht - Durchgang (Transit) (in t);Luftpost - gesamt (in t) (ab 2008);Verkehrseinheiten (VE)
2011;05;3413;2611;1303;1308;60365;2354;2354;0;257;802;185;617;182109;181734;179268;86702;92566;2466;113101;66167;375;-;16,8;16,8;9,3;7,5;0;0,1;179437
2011;06;3345;2497;1250;1247;59291;2284;2283;1;213;848;178;670;188144;187678;185870;92997;92873;1808;99096;86774;466;-;14,7;14,7;8,5;6,2;0;0,2;186019
2011;07;3114;2453;1225;1228;59909;2272;2269;3;181;661;160;501;188688;188361;186017;90843;95174;2344;95059;90958;327;-;49,8;49,8;7,6;42,3;0;0,1;186516
2011;08;3127;2394;1200;1194;57590;2165;2162;3;229;733;167;566;177075;176749;174970;88858;86112;1779;86303;88667;326;-;77,7;19,5;10,4;9,1;58,2;0,2;175167
2011;09;3561;2709;1352;1357;62463;2411;2406;5;298;852;228;624;205295;204859;203192;100753;102439;1667;109838;93354;436;-;22,1;22,1;13,4;8,7;0;0,2;203415
2011;10;3288;2535;1269;1266;61753;2345;2341;4;190;753;154;599;202658;202286;201132;105299;95833;1154;106070;95062;372;-;21,7;17,5;9,2;8,3;4,2;0;201307
2011;11;2746;2263;1137;1126;52492;2015;2011;4;248;483;177;306;148713;148577;146826;75043;71783;1751;105929;40897;136;-;29,6;29,6;19,1;10,5;0;0;147123
2011;12;2214;1772;887;885;43923;1683;1683;0;89;442;137;305;124988;124732;124303;63957;60346;429;102750;21553;256;-;17,1;17,1;7,2;10;0;0;124475
2012;01;2097;1746;878;868;42161;1600;1599;1;146;351;110;241;108815;108678;108523;51731;56792;155;82376;26147;137;-;28,9;28,9;22,1;6,8;0;0,1;108813
2012;02;2177;1733;866;867;44408;1643;1641;2;90;444;228;216;117732;117573;116824;58184;58640;749;85101;31723;159;-;20,3;16,8;7,6;9,2;3,5;0;116992
