Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
1999;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Ausländer;20 Jahre und mehr;2889;9
1999;13 Südvorstadt, Zschertnitz;Deutsche;00 bis unter 1 Jahr;12756;2518
1999;13 Südvorstadt, Zschertnitz;Deutsche;01 bis unter 3 Jahre;93514;4173
1999;13 Südvorstadt, Zschertnitz;Deutsche;03 bis unter 5 Jahre;95868;2086
1999;13 Südvorstadt, Zschertnitz;Deutsche;05 bis unter 10 Jahre;251409;2761
1999;13 Südvorstadt, Zschertnitz;Deutsche;10 bis unter 20 Jahre;1032552;5555
1999;13 Südvorstadt, Zschertnitz;Deutsche;20 Jahre und mehr;2217602;6203
1999;13 Südvorstadt, Zschertnitz;Ausländer;00 bis unter 1 Jahr;3974;962
1999;13 Südvorstadt, Zschertnitz;Ausländer;01 bis unter 3 Jahre;13481;668
1999;13 Südvorstadt, Zschertnitz;Ausländer;03 bis unter 5 Jahre;7278;161
1999;13 Südvorstadt, Zschertnitz;Ausländer;05 bis unter 10 Jahre;10957;127
1999;13 Südvorstadt, Zschertnitz;Ausländer;10 bis unter 20 Jahre;8416;57
1999;13 Südvorstadt, Zschertnitz;Ausländer;20 Jahre und mehr;2739;9
1999;14 Mockritz, Coschütz, Plauen;Deutsche;00 bis unter 1 Jahr;15176;2992
1999;14 Mockritz, Coschütz, Plauen;Deutsche;01 bis unter 3 Jahre;108223;4908
1999;14 Mockritz, Coschütz, Plauen;Deutsche;03 bis unter 5 Jahre;110692;2451
1999;14 Mockritz, Coschütz, Plauen;Deutsche;05 bis unter 10 Jahre;211964;2344
1999;14 Mockritz, Coschütz, Plauen;Deutsche;10 bis unter 20 Jahre;782808;4376
1999;14 Mockritz, Coschütz, Plauen;Deutsche;20 Jahre und mehr;1555346;3682
1999;14 Mockritz, Coschütz, Plauen;Ausländer;00 bis unter 1 Jahr;715;139
1999;14 Mockritz, Coschütz, Plauen;Ausländer;01 bis unter 3 Jahre;2651;121
1999;14 Mockritz, Coschütz, Plauen;Ausländer;03 bis unter 5 Jahre;1108;24
1999;14 Mockritz, Coschütz, Plauen;Ausländer;05 bis unter 10 Jahre;2150;25
1999;14 Mockritz, Coschütz, Plauen;Ausländer;10 bis unter 20 Jahre;1844;10
1999;14 Mockritz, Coschütz, Plauen;Ausländer;20 Jahre und mehr;521;2
1999;15 Cotta, Löbtau, Naußlitz, Dölzschen;Deutsche;00 bis unter 1 Jahr;35189;6485
1999;15 Cotta, Löbtau, Naußlitz, Dölzschen;Deutsche;01 bis unter 3 Jahre;188906;8632
