Jahr;Stadtraum;Heizungsart;Anteil in %
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Fernheizung;48
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;50,9
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Einzelraumheizung;1,1
2012;13 Südvorstadt, Zschertnitz;Fernheizung;84
2012;13 Südvorstadt, Zschertnitz;Zentralheizung oder Etagenheizung;15,7
2012;13 Südvorstadt, Zschertnitz;Einzelraumheizung;0,3
2012;14 Mockritz, Coschütz, Plauen;Fernheizung;43,8
2012;14 Mockritz, Coschütz, Plauen;Zentralheizung oder Etagenheizung;53,5
2012;14 Mockritz, Coschütz, Plauen;Einzelraumheizung;2,7
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;Fernheizung;39,3
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;Zentralheizung oder Etagenheizung;59,1
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;Einzelraumheizung;1,5
2012;16 Gorbitz;Fernheizung;90,7
2012;16 Gorbitz;Zentralheizung oder Etagenheizung;9,3
2012;16 Gorbitz;Einzelraumheizung;0
2012;17 Briesnitz und westliche OS;Fernheizung;19,1
2012;17 Briesnitz und westliche OS;Zentralheizung oder Etagenheizung;80,3
2012;17 Briesnitz und westliche OS;Einzelraumheizung;0,7
2012;18 Dresden gesamt;Fernheizung;58,9
2012;18 Dresden gesamt;Zentralheizung oder Etagenheizung;39,7
2012;18 Dresden gesamt;Einzelraumheizung;1,4
2014;01 StB Altstadt ohne Johannstadt;Fernheizung;70,5
2014;01 StB Altstadt ohne Johannstadt;Zentralheizung oder Etagenheizung;29,5
2014;01 StB Altstadt ohne Johannstadt;Einzelraumheizung;0
2014;02 Johannstadt;Fernheizung;75
2014;02 Johannstadt;Zentralheizung oder Etagenheizung;25
2014;02 Johannstadt;Einzelraumheizung;0
2014;03 StB Neustadt ohne Leipziger Vorstadt;Fernheizung;41,1
2014;03 StB Neustadt ohne Leipziger Vorstadt;Zentralheizung oder Etagenheizung;55,3
2014;03 StB Neustadt ohne Leipziger Vorstadt;Einzelraumheizung;3,5
2014;04 Leipziger Vorstadt, Pieschen;Fernheizung;22,8
2014;04 Leipziger Vorstadt, Pieschen;Zentralheizung oder Etagenheizung;68,2
2014;04 Leipziger Vorstadt, Pieschen;Einzelraumheizung;9,1
2014;05 Mickten, Kaditz, Trachau;Fernheizung;39
2014;05 Mickten, Kaditz, Trachau;Zentralheizung oder Etagenheizung;54,3
2014;05 Mickten, Kaditz, Trachau;Einzelraumheizung;6,7
2014;06 StB Klotzsche und nördliche OS;Fernheizung;16,8
2014;06 StB Klotzsche und nördliche OS;Zentralheizung oder Etagenheizung;80,9
2014;06 StB Klotzsche und nördliche OS;Einzelraumheizung;2,2
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Fernheizung;7
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Zentralheizung oder Etagenheizung;89,3
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Einzelraumheizung;3,7
2014;08 Blasewitz, Striesen;Fernheizung;54,8
2014;08 Blasewitz, Striesen;Zentralheizung oder Etagenheizung;44,7
2014;08 Blasewitz, Striesen;Einzelraumheizung;0,5
2014;09 Tolkewitz, Seidnitz, Gruna;Fernheizung;65,3
2014;09 Tolkewitz, Seidnitz, Gruna;Zentralheizung oder Etagenheizung;31,1
2014;09 Tolkewitz, Seidnitz, Gruna;Einzelraumheizung;3,5
2014;10 StB Leuben;Fernheizung;46,6
2014;10 StB Leuben;Zentralheizung oder Etagenheizung;52
2014;10 StB Leuben;Einzelraumheizung;1,4
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Fernheizung;74,8
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;25,2
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Einzelraumheizung;0
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Fernheizung;31,8
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;65,1
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Einzelraumheizung;3,1
2014;13 Südvorstadt, Zschertnitz;Fernheizung;65,7
2014;13 Südvorstadt, Zschertnitz;Zentralheizung oder Etagenheizung;33,5
2014;13 Südvorstadt, Zschertnitz;Einzelraumheizung;0,7
2014;14 Mockritz, Coschütz, Plauen;Fernheizung;25,3
2014;14 Mockritz, Coschütz, Plauen;Zentralheizung oder Etagenheizung;73,4
2014;14 Mockritz, Coschütz, Plauen;Einzelraumheizung;1,3
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Fernheizung;23,2
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Zentralheizung oder Etagenheizung;72,3
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Einzelraumheizung;4,5
2014;16 Gorbitz;Fernheizung;80,2
2014;16 Gorbitz;Zentralheizung oder Etagenheizung;19,8
2014;16 Gorbitz;Einzelraumheizung;0
2014;17 Briesnitz und westliche OS;Fernheizung;10,1
2014;17 Briesnitz und westliche OS;Zentralheizung oder Etagenheizung;87,6
2014;17 Briesnitz und westliche OS;Einzelraumheizung;2,3
2014;18 Dresden gesamt;Fernheizung;44,7
2014;18 Dresden gesamt;Zentralheizung oder Etagenheizung;52,6
2014;18 Dresden gesamt;Einzelraumheizung;2,7
2016;01 StB Altstadt ohne Johannstadt;Fernheizung;66,9
2016;01 StB Altstadt ohne Johannstadt;Zentralheizung oder Etagenheizung;32,3
2016;01 StB Altstadt ohne Johannstadt;Einzelraumheizung;0,8
2016;02 Johannstadt;Fernheizung;77
2016;02 Johannstadt;Zentralheizung oder Etagenheizung;23
2016;02 Johannstadt;Einzelraumheizung;0
2016;03 StB Neustadt ohne Leipziger Vorstadt;Fernheizung;52
2016;03 StB Neustadt ohne Leipziger Vorstadt;Zentralheizung oder Etagenheizung;44,5
2016;03 StB Neustadt ohne Leipziger Vorstadt;Einzelraumheizung;3,5
2016;04 Leipziger Vorstadt, Pieschen;Fernheizung;24,5
2016;04 Leipziger Vorstadt, Pieschen;Zentralheizung oder Etagenheizung;73,6
2016;04 Leipziger Vorstadt, Pieschen;Einzelraumheizung;2
2016;05 Mickten, Kaditz, Trachau;Fernheizung;32,5
2016;05 Mickten, Kaditz, Trachau;Zentralheizung oder Etagenheizung;66,4
2016;05 Mickten, Kaditz, Trachau;Einzelraumheizung;1,1
2016;06 StB Klotzsche und nördliche OS;Fernheizung;28
2016;06 StB Klotzsche und nördliche OS;Zentralheizung oder Etagenheizung;71,5
2016;06 StB Klotzsche und nördliche OS;Einzelraumheizung;0,5
2016;07 StB Loschwitz und OS Schönfeld-Weißig;Fernheizung;8,8
2016;07 StB Loschwitz und OS Schönfeld-Weißig;Zentralheizung oder Etagenheizung;88,2
2016;07 StB Loschwitz und OS Schönfeld-Weißig;Einzelraumheizung;2,9
2016;08 Blasewitz, Striesen;Fernheizung;50,5
2016;08 Blasewitz, Striesen;Zentralheizung oder Etagenheizung;49,2
2016;08 Blasewitz, Striesen;Einzelraumheizung;0,3
2016;09 Tolkewitz, Seidnitz, Gruna;Fernheizung;61,3
2016;09 Tolkewitz, Seidnitz, Gruna;Zentralheizung oder Etagenheizung;38,5
2016;09 Tolkewitz, Seidnitz, Gruna;Einzelraumheizung;0,2
2016;10 StB Leuben;Fernheizung;45,9
2016;10 StB Leuben;Zentralheizung oder Etagenheizung;53,4
2016;10 StB Leuben;Einzelraumheizung;0,6
2016;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Fernheizung;79,3
2016;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;20
2016;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Einzelraumheizung;0,7
2016;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Fernheizung;31,6
2016;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;65,8
2016;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Einzelraumheizung;2,6
2016;13 Südvorstadt, Zschertnitz;Fernheizung;65,4
2016;13 Südvorstadt, Zschertnitz;Zentralheizung oder Etagenheizung;34,3
2016;13 Südvorstadt, Zschertnitz;Einzelraumheizung;0,3
2016;14 Mockritz, Coschütz, Plauen;Fernheizung;35,3
2016;14 Mockritz, Coschütz, Plauen;Zentralheizung oder Etagenheizung;64,3
2016;14 Mockritz, Coschütz, Plauen;Einzelraumheizung;0,4
2016;15 Cotta, Löbtau, Naußlitz, Dölzschen;Fernheizung;31,7
2016;15 Cotta, Löbtau, Naußlitz, Dölzschen;Zentralheizung oder Etagenheizung;68,2
2016;15 Cotta, Löbtau, Naußlitz, Dölzschen;Einzelraumheizung;0,1
2016;16 Gorbitz;Fernheizung;78,3
2016;16 Gorbitz;Zentralheizung oder Etagenheizung;21,7
2016;16 Gorbitz;Einzelraumheizung;0
2016;17 Briesnitz und westliche OS;Fernheizung;11,7
2016;17 Briesnitz und westliche OS;Zentralheizung oder Etagenheizung;85,4
2016;17 Briesnitz und westliche OS;Einzelraumheizung;2,9
