Jahr;Monat;Betriebsart;Tourismus_Betriebe gesamt;Tourismus_Betriebe;Tourismus_Betten gesamt;Tourismus_Betten;Tourismus_Ankünfte;Tourismus_Übernachtungen
2003;10;Pensionen;35;34;749;687;2888;7711
2003;10;Jugendherbergen, Hütten und Hostels;5;5;793;783;5893;14778
2003;10;sonstige;6;5;187;127;588;1767
2003;11;Hotels;64;64;10949;10935;68728;131438
2003;11;Hotels garni;24;24;2162;2140;11085;23675
2003;11;Gasthöfe;18;17;374;354;1531;3098
2003;11;Pensionen;35;34;750;688;2303;5434
2003;11;Jugendherbergen, Hütten und Hostels;5;5;793;782;3601;7333
2003;11;sonstige;6;5;187;127;397;1345
2003;12;Hotels;64;64;10949;10937;83832;167940
2003;12;Hotels garni;23;23;2161;2154;11324;24573
2003;12;Gasthöfe;18;17;374;353;1505;3159
2003;12;Pensionen;35;34;750;687;2391;5636
2003;12;Jugendherbergen, Hütten und Hostels;5;5;793;783;3712;7342
2003;12;sonstige;6;5;187;127;437;1206
2004;01;Hotels;64;64;10951;10941;37505;75001
2004;01;Hotels garni;22;22;1973;1968;5544;11941
2004;01;Gasthöfe;18;17;374;354;1156;2241
2004;01;Pensionen;35;35;750;695;1494;3863
2004;01;Jugendherbergen, Hütten und Hostels;5;5;789;788;2037;4253
2004;01;sonstige;7;6;371;311;557;2338
2004;02;Hotels;64;63;10951;10445;41855;80595
2004;02;Hotels garni;22;22;1973;1937;5653;11061
2004;02;Gasthöfe;18;17;374;354;1191;2360
2004;02;Pensionen;35;35;750;695;1684;4777
2004;02;Jugendherbergen, Hütten und Hostels;5;5;789;788;2474;6359
2004;02;sonstige;7;6;371;311;500;2365
2004;03;Hotels;64;64;10951;10940;62122;121857
2004;03;Hotels garni;22;22;1973;1949;8540;19545
2004;03;Gasthöfe;18;17;374;354;1240;2669
2004;03;Pensionen;35;35;750;695;2182;5671
2004;03;Jugendherbergen, Hütten und Hostels;5;5;788;788;4261;10421
2004;03;sonstige;7;6;371;311;741;2942
2004;04;Hotels;64;64;10963;10955;75217;158045
2004;04;Hotels garni;22;22;1974;1951;11441;24267
2004;04;Gasthöfe;18;17;375;356;1830;3654
2004;04;Pensionen;34;34;739;684;2405;6453
2004;04;Jugendherbergen, Hütten und Hostels;5;5;788;788;5379;12801
2004;04;sonstige;7;6;371;311;884;3616
2004;05;Hotels;64;64;10963;10940;94822;206173
2004;05;Hotels garni;22;22;1976;1963;15309;34538
2004;05;Gasthöfe;18;17;375;356;2038;4320
2004;05;Pensionen;34;33;739;721;3312;8234
2004;05;Jugendherbergen, Hütten und Hostels;5;5;788;788;6970;16649
2004;05;sonstige;7;6;371;311;1197;4108
2004;06;Hotels;64;64;11214;11194;95940;199592
2004;06;Hotels garni;22;22;1976;1970;15368;34476
2004;06;Gasthöfe;18;17;376;357;1884;4340
2004;06;Pensionen;34;34;739;737;3182;8222
2004;06;Jugendherbergen, Hütten und Hostels;5;5;788;788;6862;16487
2004;06;sonstige;7;6;371;311;1129;3812
2004;07;Hotels;64;64;11214;10939;88722;184761
2004;07;Hotels garni;22;22;1976;1970;13278;28457
2004;07;Gasthöfe;18;18;376;373;2157;4654
2004;07;Pensionen;33;33;594;592;2711;6706
2004;07;Jugendherbergen, Hütten und Hostels;5;5;788;788;7395;16629
2004;07;sonstige;7;5;371;297;844;3345
2004;08;Hotels;64;64;11218;10943;96009;204306
2004;08;Hotels garni;23;23;2040;2034;15432;33106
2004;08;Gasthöfe;18;18;376;373;2249;5092
2004;08;Pensionen;33;33;594;592;2849;7556
2004;08;Jugendherbergen, Hütten und Hostels;5;5;789;789;6957;15546
2004;08;sonstige;7;6;371;311;1125;4538
2004;09;Hotels;65;65;11239;10965;101768;219735
2004;09;Hotels garni;23;23;2040;2023;16280;37019
2004;09;Gasthöfe;18;18;380;380;2181;4687
2004;09;Pensionen;33;33;594;592;3234;8114
2004;09;Jugendherbergen, Hütten und Hostels;6;6;879;879;7718;17713
2004;09;sonstige;7;6;371;311;1325;5121
2004;10;Hotels;66;66;11297;10989;96463;213313
2004;10;Hotels garni;23;23;2040;2023;15529;36110
2004;10;Gasthöfe;17;17;322;322;1920;3946
2004;10;Pensionen;33;33;594;592;2944;7743
2004;10;Jugendherbergen, Hütten und Hostels;6;6;879;878;7434;15831
2004;10;sonstige;7;6;371;311;1159;4128
2004;11;Hotels;66;66;11354;11080;74809;146667
2004;11;Hotels garni;23;23;2040;2023;10807;22563
2004;11;Gasthöfe;17;17;322;322;1416;2592
2004;11;Pensionen;33;33;594;592;2306;5830
2004;11;Jugendherbergen, Hütten und Hostels;6;6;879;878;4122;8531
2004;11;sonstige;7;6;371;311;859;3496
