Jahr;Stadtraum;Heizenergie;Anteil in %
1996;08 Blasewitz, Striesen;Kohle;"48   "
1996;08 Blasewitz, Striesen;Gas;"42,9 "
1996;08 Blasewitz, Striesen;Öl;"4,9  "
1996;08 Blasewitz, Striesen;Strom;"4,2  "
1996;08 Blasewitz, Striesen;sonstige;"0    "
1996;09 Tolkewitz, Seidnitz, Gruna;Kohle;"54,2 "
1996;09 Tolkewitz, Seidnitz, Gruna;Gas;"39,2 "
1996;09 Tolkewitz, Seidnitz, Gruna;Öl;"2,2  "
1996;09 Tolkewitz, Seidnitz, Gruna;Strom;"4,4  "
1996;09 Tolkewitz, Seidnitz, Gruna;sonstige;"0    "
1996;10 StB Leuben;Kohle;"32,7 "
1996;10 StB Leuben;Gas;"55,5 "
1996;10 StB Leuben;Öl;"10,3 "
1996;10 StB Leuben;Strom;"1    "
1996;10 StB Leuben;sonstige;"0,4  "
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Kohle;"25,3 "
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gas;"60,4 "
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Öl;"6,3  "
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Strom;"8,1  "
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);sonstige;"0    "
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Kohle;"20,7 "
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gas;"66   "
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Öl;"10,8 "
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Strom;"1,6  "
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);sonstige;"0,8  "
1996;13 Südvorstadt, Zschertnitz;Kohle;"45,5 "
1996;13 Südvorstadt, Zschertnitz;Gas;"45,3 "
1996;13 Südvorstadt, Zschertnitz;Öl;"2,8  "
1996;13 Südvorstadt, Zschertnitz;Strom;"6,5  "
1996;13 Südvorstadt, Zschertnitz;sonstige;"0    "
1996;14 Mockritz, Coschütz, Plauen;Kohle;"24,3 "
1996;14 Mockritz, Coschütz, Plauen;Gas;"55,2 "
1996;14 Mockritz, Coschütz, Plauen;Öl;"17,4 "
1996;14 Mockritz, Coschütz, Plauen;Strom;"3,1  "
1996;14 Mockritz, Coschütz, Plauen;sonstige;"0    "
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;Kohle;"42,2 "
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gas;"50,7 "
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;Öl;"5,5  "
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;Strom;"1,6  "
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;sonstige;"0    "
1996;16 Gorbitz;Kohle;"0    "
1996;16 Gorbitz;Gas;"0    "
1996;16 Gorbitz;Öl;"0    "
1996;16 Gorbitz;Strom;"0    "
1996;16 Gorbitz;sonstige;"0    "
1996;17 Briesnitz und westliche OS;Kohle;"35,8 "
1996;17 Briesnitz und westliche OS;Gas;"52,9 "
1996;17 Briesnitz und westliche OS;Öl;"8,5  "
1996;17 Briesnitz und westliche OS;Strom;"2,8  "
1996;17 Briesnitz und westliche OS;sonstige;"0    "
1996;18 Dresden gesamt;Kohle;"40,5 "
1996;18 Dresden gesamt;Gas;"48   "
1996;18 Dresden gesamt;Öl;"7,9  "
1996;18 Dresden gesamt;Strom;"3,4  "
1996;18 Dresden gesamt;sonstige;"0,3  "
1998;01 StB Altstadt ohne Johannstadt;Kohle;"32,9 "
1998;01 StB Altstadt ohne Johannstadt;Gas;"52,9 "
1998;01 StB Altstadt ohne Johannstadt;Öl;"1,5  "
1998;01 StB Altstadt ohne Johannstadt;Strom;"10,6 "
1998;01 StB Altstadt ohne Johannstadt;sonstige;"2,1  "
1998;02 Johannstadt;Kohle;"49,6 "
1998;02 Johannstadt;Gas;"24   "
1998;02 Johannstadt;Öl;"0    "
1998;02 Johannstadt;Strom;"7,7  "
1998;02 Johannstadt;sonstige;"18,6 "
1998;03 StB Neustadt ohne Leipziger Vorstadt;Kohle;"27,3 "
1998;03 StB Neustadt ohne Leipziger Vorstadt;Gas;"55,7 "
1998;03 StB Neustadt ohne Leipziger Vorstadt;Öl;"7,8  "
1998;03 StB Neustadt ohne Leipziger Vorstadt;Strom;"7,3  "
1998;03 StB Neustadt ohne Leipziger Vorstadt;sonstige;"1,9  "
1998;04 Leipziger Vorstadt, Pieschen;Kohle;"31,6 "
1998;04 Leipziger Vorstadt, Pieschen;Gas;"50,5 "
1998;04 Leipziger Vorstadt, Pieschen;Öl;"9,9  "
1998;04 Leipziger Vorstadt, Pieschen;Strom;"6,5  "
1998;04 Leipziger Vorstadt, Pieschen;sonstige;"1,5  "
1998;05 Mickten, Kaditz, Trachau;Kohle;"20,9 "
1998;05 Mickten, Kaditz, Trachau;Gas;"67,5 "
1998;05 Mickten, Kaditz, Trachau;Öl;"5    "
1998;05 Mickten, Kaditz, Trachau;Strom;"5,6  "
1998;05 Mickten, Kaditz, Trachau;sonstige;"0,9  "
1998;06 StB Klotzsche und nördliche OS;Kohle;"13,4 "
1998;06 StB Klotzsche und nördliche OS;Gas;"65   "
1998;06 StB Klotzsche und nördliche OS;Öl;"21,2 "
1998;06 StB Klotzsche und nördliche OS;Strom;"0    "
1998;06 StB Klotzsche und nördliche OS;sonstige;"0,4  "
1998;07 StB Loschwitz und OS Schönfeld-Weißig;Kohle;"9,5  "
1998;07 StB Loschwitz und OS Schönfeld-Weißig;Gas;"64,8 "
1998;07 StB Loschwitz und OS Schönfeld-Weißig;Öl;"22,2 "
1998;07 StB Loschwitz und OS Schönfeld-Weißig;Strom;"3    "
1998;07 StB Loschwitz und OS Schönfeld-Weißig;sonstige;"0,5  "
1998;08 Blasewitz, Striesen;Kohle;"19,1 "
1998;08 Blasewitz, Striesen;Gas;"73   "
1998;08 Blasewitz, Striesen;Öl;"5,9  "
1998;08 Blasewitz, Striesen;Strom;"1,7  "
1998;08 Blasewitz, Striesen;sonstige;"0,3  "
1998;09 Tolkewitz, Seidnitz, Gruna;Kohle;"30,5 "
1998;09 Tolkewitz, Seidnitz, Gruna;Gas;"64,5 "
1998;09 Tolkewitz, Seidnitz, Gruna;Öl;"3,9  "
1998;09 Tolkewitz, Seidnitz, Gruna;Strom;"1,2  "
1998;09 Tolkewitz, Seidnitz, Gruna;sonstige;"0    "
1998;10 StB Leuben;Kohle;"18,8 "
1998;10 StB Leuben;Gas;"69,6 "
1998;10 StB Leuben;Öl;"5,2  "
1998;10 StB Leuben;Strom;"5,1  "
1998;10 StB Leuben;sonstige;"1,3  "
1998;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Kohle;"11   "
1998;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gas;"74   "
1998;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Öl;"7    "
1998;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Strom;"8    "
1998;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);sonstige;"0    "
1998;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Kohle;"11,3 "
1998;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gas;"72,6 "
1998;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Öl;"13,8 "
1998;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Strom;"2,3  "
1998;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);sonstige;"0    "
1998;13 Südvorstadt, Zschertnitz;Kohle;"38,3 "
1998;13 Südvorstadt, Zschertnitz;Gas;"53,3 "
1998;13 Südvorstadt, Zschertnitz;Öl;"5,9  "
1998;13 Südvorstadt, Zschertnitz;Strom;"1,2  "
1998;13 Südvorstadt, Zschertnitz;sonstige;"1,3  "
1998;14 Mockritz, Coschütz, Plauen;Kohle;"17,8 "
1998;14 Mockritz, Coschütz, Plauen;Gas;"70,2 "
1998;14 Mockritz, Coschütz, Plauen;Öl;"8,4  "
1998;14 Mockritz, Coschütz, Plauen;Strom;"3,6  "
1998;14 Mockritz, Coschütz, Plauen;sonstige;"0    "
1998;15 Cotta, Löbtau, Naußlitz, Dölzschen;Kohle;"21,5 "
1998;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gas;"65,3 "
1998;15 Cotta, Löbtau, Naußlitz, Dölzschen;Öl;"10,6 "
1998;15 Cotta, Löbtau, Naußlitz, Dölzschen;Strom;"2,4  "
1998;15 Cotta, Löbtau, Naußlitz, Dölzschen;sonstige;"0,3  "
1998;16 Gorbitz;Kohle;"0    "
1998;16 Gorbitz;Gas;"0    "
1998;16 Gorbitz;Öl;"0    "
1998;16 Gorbitz;Strom;"0    "
1998;16 Gorbitz;sonstige;"0    "
1998;17 Briesnitz und westliche OS;Kohle;"10,1 "
1998;17 Briesnitz und westliche OS;Gas;"62,8 "
1998;17 Briesnitz und westliche OS;Öl;"24   "
1998;17 Briesnitz und westliche OS;Strom;"0,6  "
1998;17 Briesnitz und westliche OS;sonstige;"2,5  "
1998;18 Dresden gesamt;Kohle;"20,8 "
1998;18 Dresden gesamt;Gas;"64,1 "
1998;18 Dresden gesamt;Öl;"10,4 "
1998;18 Dresden gesamt;Strom;"3,7  "
1998;18 Dresden gesamt;sonstige;"1    "
2002;01 StB Altstadt ohne Johannstadt;Kohle;"0    "
2002;01 StB Altstadt ohne Johannstadt;Gas;"100  "
2002;01 StB Altstadt ohne Johannstadt;Öl;"0    "
2002;01 StB Altstadt ohne Johannstadt;Strom;"0    "
2002;01 StB Altstadt ohne Johannstadt;sonstige;"0    "
2002;02 Johannstadt;Kohle;"26,4 "
2002;02 Johannstadt;Gas;"54   "
2002;02 Johannstadt;Öl;"0    "
2002;02 Johannstadt;Strom;"14,7 "
2002;02 Johannstadt;sonstige;"5    "
2002;03 StB Neustadt ohne Leipziger Vorstadt;Kohle;"2,6  "
2002;03 StB Neustadt ohne Leipziger Vorstadt;Gas;"73,7 "
2002;03 StB Neustadt ohne Leipziger Vorstadt;Öl;"19,7 "
2002;03 StB Neustadt ohne Leipziger Vorstadt;Strom;"3,1  "
2002;03 StB Neustadt ohne Leipziger Vorstadt;sonstige;"0,9  "
2002;04 Leipziger Vorstadt, Pieschen;Kohle;"6    "
2002;04 Leipziger Vorstadt, Pieschen;Gas;"78,4 "
2002;04 Leipziger Vorstadt, Pieschen;Öl;"12,9 "
2002;04 Leipziger Vorstadt, Pieschen;Strom;"2    "
2002;04 Leipziger Vorstadt, Pieschen;sonstige;"0,7  "
2002;05 Mickten, Kaditz, Trachau;Kohle;"4,3  "
2002;05 Mickten, Kaditz, Trachau;Gas;"87,8 "
2002;05 Mickten, Kaditz, Trachau;Öl;"5,8  "
2002;05 Mickten, Kaditz, Trachau;Strom;"1,2  "
2002;05 Mickten, Kaditz, Trachau;sonstige;"0,9  "
2002;06 StB Klotzsche und nördliche OS;Kohle;"3,7  "
2002;06 StB Klotzsche und nördliche OS;Gas;"69,1 "
2002;06 StB Klotzsche und nördliche OS;Öl;"21,8 "
2002;06 StB Klotzsche und nördliche OS;Strom;"4,8  "
2002;06 StB Klotzsche und nördliche OS;sonstige;"0,6  "
2002;07 StB Loschwitz und OS Schönfeld-Weißig;Kohle;"2,3  "
2002;07 StB Loschwitz und OS Schönfeld-Weißig;Gas;"71,9 "
2002;07 StB Loschwitz und OS Schönfeld-Weißig;Öl;"19,3 "
2002;07 StB Loschwitz und OS Schönfeld-Weißig;Strom;"5,7  "
2002;07 StB Loschwitz und OS Schönfeld-Weißig;sonstige;"0,7  "
2002;08 Blasewitz, Striesen;Kohle;"1,5  "
2002;08 Blasewitz, Striesen;Gas;"84,4 "
2002;08 Blasewitz, Striesen;Öl;"11,8 "
2002;08 Blasewitz, Striesen;Strom;"0,5  "
2002;08 Blasewitz, Striesen;sonstige;"1,8  "
2002;09 Tolkewitz, Seidnitz, Gruna;Kohle;"5,4  "
2002;09 Tolkewitz, Seidnitz, Gruna;Gas;"70,8 "
2002;09 Tolkewitz, Seidnitz, Gruna;Öl;"21,1 "
2002;09 Tolkewitz, Seidnitz, Gruna;Strom;"2,8  "
2002;09 Tolkewitz, Seidnitz, Gruna;sonstige;"0    "
2002;10 StB Leuben;Kohle;"6,8  "
2002;10 StB Leuben;Gas;"73,1 "
2002;10 StB Leuben;Öl;"10,3 "
2002;10 StB Leuben;Strom;"6,4  "
2002;10 StB Leuben;sonstige;"3,4  "
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Kohle;"1,1  "
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gas;"74,5 "
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Öl;"3,5  "
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Strom;"18,6 "
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);sonstige;"2,3  "
