Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtbezirk/Ortschaft;Stadtraum;Geschlecht;Gestorbene
2016;81 Südvorstadt-West;StB 8 Plauen;StB 8 Plauen;13 Südvorstadt, Zschertnitz;weiblich;55
2016;82 Südvorstadt-Ost;StB 8 Plauen;StB 8 Plauen;13 Südvorstadt, Zschertnitz;männlich;28
2016;82 Südvorstadt-Ost;StB 8 Plauen;StB 8 Plauen;13 Südvorstadt, Zschertnitz;weiblich;36
2016;83 Räcknitz/Zschertnitz;StB 8 Plauen;StB 8 Plauen;13 Südvorstadt, Zschertnitz;männlich;47
2016;83 Räcknitz/Zschertnitz;StB 8 Plauen;StB 8 Plauen;13 Südvorstadt, Zschertnitz;weiblich;29
2016;84 Kleinpestitz/Mockritz;StB 8 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;männlich;34
2016;84 Kleinpestitz/Mockritz;StB 8 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;weiblich;24
2016;85 Coschütz/Gittersee;StB 8 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;männlich;11
2016;85 Coschütz/Gittersee;StB 8 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;weiblich;16
2016;86 Plauen;StB 8 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;männlich;44
2016;86 Plauen;StB 8 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;weiblich;44
2016;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;OS Cossebaude;17 Briesnitz und westliche OS;männlich;29
2016;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;OS Cossebaude;17 Briesnitz und westliche OS;weiblich;23
2016;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;OS Mobschatz;17 Briesnitz und westliche OS;männlich;7
2016;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;OS Mobschatz;17 Briesnitz und westliche OS;weiblich;6
2016;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;OS Oberwartha;17 Briesnitz und westliche OS;männlich;1
2016;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;OS Oberwartha;17 Briesnitz und westliche OS;weiblich;1
2016;91 Cotta;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;15 Cotta, Löbtau, Naußlitz, Dölzschen;männlich;36
2016;91 Cotta;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;15 Cotta, Löbtau, Naußlitz, Dölzschen;weiblich;26
2016;92 Löbtau-Nord;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;15 Cotta, Löbtau, Naußlitz, Dölzschen;männlich;36
2016;92 Löbtau-Nord;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;15 Cotta, Löbtau, Naußlitz, Dölzschen;weiblich;32
2016;93 Löbtau-Süd;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;15 Cotta, Löbtau, Naußlitz, Dölzschen;männlich;34
