Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Bautätigkeit - Art;Genehmigungsjahr;Anzahl Gebäude;Wohnungen gesamt
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1996;11;161
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1997;8;18
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1998;1;20
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1999;11;104
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2000;7;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2001;3;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2002;3;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2003;3;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2004;7;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2005;5;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2006;2;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2007;2;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2008;4;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2009;4;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2010;3;1
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2011;7;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2012;1;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2013;44;73
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2014;21;138
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2015;25;133
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2016;15;58
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2017;19;240
