Jahr;Stadtraum;Eigentümer des Gebäudes;Anteil in %
2002;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Wohnungsgenossenschaft;4,8
2002;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Stadt;1,7
2002;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer privat;50,8
2002;08 Blasewitz, Striesen;Eigennutzung;6,5
2002;08 Blasewitz, Striesen;Eigentümer Wohnungsgenossenschaft;21,6
2002;08 Blasewitz, Striesen;Eigentümer Stadt;9,8
2002;08 Blasewitz, Striesen;Eigentümer privat;62
2002;09 Tolkewitz, Seidnitz, Gruna;Eigennutzung;5,5
2002;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Wohnungsgenossenschaft;42,7
2002;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Stadt;19
2002;09 Tolkewitz, Seidnitz, Gruna;Eigentümer privat;32,8
2002;10 StB Leuben;Eigennutzung;17,2
2002;10 StB Leuben;Eigentümer Wohnungsgenossenschaft;28,9
2002;10 StB Leuben;Eigentümer Stadt;16,9
2002;10 StB Leuben;Eigentümer privat;37
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigennutzung;3,9
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;18,9
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Stadt;57,4
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer privat;19,8
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigennutzung;27,3
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;17,9
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Stadt;14,4
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer privat;40,4
2002;13 Südvorstadt, Zschertnitz;Eigennutzung;5,6
2002;13 Südvorstadt, Zschertnitz;Eigentümer Wohnungsgenossenschaft;38
2002;13 Südvorstadt, Zschertnitz;Eigentümer Stadt;41,1
2002;13 Südvorstadt, Zschertnitz;Eigentümer privat;15,2
2002;14 Mockritz, Coschütz, Plauen;Eigennutzung;22,7
2002;14 Mockritz, Coschütz, Plauen;Eigentümer Wohnungsgenossenschaft;24,1
2002;14 Mockritz, Coschütz, Plauen;Eigentümer Stadt;10,4
2002;14 Mockritz, Coschütz, Plauen;Eigentümer privat;42,8
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigennutzung;14,4
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Wohnungsgenossenschaft;13,9
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Stadt;10,8
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer privat;60,9
2002;16 Gorbitz;Eigennutzung;6,3
2002;16 Gorbitz;Eigentümer Wohnungsgenossenschaft;44,4
2002;16 Gorbitz;Eigentümer Stadt;38,3
2002;16 Gorbitz;Eigentümer privat;11,1
2002;17 Briesnitz und westliche OS;Eigennutzung;34,9
2002;17 Briesnitz und westliche OS;Eigentümer Wohnungsgenossenschaft;7,5
2002;17 Briesnitz und westliche OS;Eigentümer Stadt;4,2
2002;17 Briesnitz und westliche OS;Eigentümer privat;53,4
2002;18 Dresden gesamt;Eigennutzung;14
2002;18 Dresden gesamt;Eigentümer Wohnungsgenossenschaft;25,1
