Jahr;WZ-Abschnitt 2008 (1 Buchstabe) zus.;WZ-Abschnitt 2008 (1 Buchstabe);WZ-Abteilung 2008 (2 Ziffern);Anzahl Betriebe
2020;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;25-Herst. von Metallerzeugnissen;100
2020;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;163
2020;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;27-Herst. von elektrischen Ausrüstungen;55
2020;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;28-Maschinenbau;110
2020;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;29-Herst. von Kraftwagen und Kraftwagenteilen;16
2020;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;30-Sonstiger Fahrzeugbau;14
2020;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;31-Herst. von Möbeln;12
2020;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;32-Herst. von sonstigen Waren;224
2020;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;33-Rep. + Install. v. Maschinen + Ausrüstungen;87
2020;F - Baugewerbe;F - Baugewerbe;41-Hochbau;226
2020;F - Baugewerbe;F - Baugewerbe;42-Tiefbau;41
2020;F - Baugewerbe;F - Baugewerbe;43-Baustellenvorb.,Bauinst.,sonst. Ausbaugew.;1347
2020;"G - Handel;Instandh.+ Rep. v. KFZ";G - Handel - Instandh.+ Rep. v. KFZ;"45-Handel Kfz; Instandh.+Rep. v. Kraftfahrz.";654
2020;"G - Handel;Instandh.+ Rep. v. KFZ";G - Handel - Instandh.+ Rep. v. KFZ;46-Großhandel (ohne Handel mit Kraftfahrzeugen);2044
2020;"G - Handel;Instandh.+ Rep. v. KFZ";G - Handel - Instandh.+ Rep. v. KFZ;47-Einzelhandel (ohne Handel mit Kraftfahrzeugen);4469
2020;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;"49-Landverkehr; Transport in Rohrfernleitungen";474
2020;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;50-Schifffahrt;2
2020;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;51-Luftfahrt;10
2020;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;52-Lagerei sowie sonst. DL für den Verkehr;211
2020;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;53-Post-, Kurier- und Expressdienste;226
2020;I - Gastgewerbe;I - Gastgewerbe;55-Beherbergung;296
2020;I - Gastgewerbe;I - Gastgewerbe;56-Gastronomie;1816
2020;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;58-Verlagswesen;139
2020;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;"59-Film+Musikherst.,Verleih,Vertrieb; Kinos";213
2020;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;60-Rundfunkveranstalter;12
2020;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;61-Telekommunikation;53
2020;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;62-Erbr. von DL der Informationstechnologie;1859
2020;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;63-InformationsDL;358
2020;K - Finanz- u. VersicherungsDL;K - Finanz- u. VersicherungsDL;64-Erbr. von FinanzDL;426
2020;K - Finanz- u. VersicherungsDL;K - Finanz- u. VersicherungsDL;65-Versich.,Rückvers.,Pensionsk.(oh Sozialver.);29
2020;K - Finanz- u. VersicherungsDL;K - Finanz- u. VersicherungsDL;66-Mit Finanz-+ Versich.DL verb. Tätigkeiten;1270
2020;L - Grundstücks- u. Wohnungswesen;L - Grundstücks- u. Wohnungswesen;68-Grundstücks- und Wohnungswesen;1906
2020;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;69-Rechts- + Steuerberatung, Wirtschaftsprüfung;429
2020;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;"70-Verw.+Führg v. Untern.+Betr.;Untern.beratung";1623
2020;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;"71-Arch./Ing.büros;techn.,phys.+chem. Unters.";1007
2020;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;72-Forschung und Entwicklung;136
2020;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;73-Werbung und Marktforschung;1619
2020;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;74-Sonst. freiber., wiss. + techn. Tätigkeiten;1331
2020;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;75-Veterinärwesen;7
2020;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;77-Verm. von beweglichen Sachen;329
2020;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;78-Vermittl. + Überlassung von Arbeitskräften;239
2020;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;79-Reisebüros,-veranstalter,sonst. Reservier.DL;410
2020;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;80-Wach- + Sicherheitsdienste sowie Detekteien;83
2020;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;"81-Gebäudebetreuung;Garten- und Landschaftsbau";1614
2020;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;82-wirtsch. DL f. Untern.+Privatpersonen a.n.g.;2191
2020;S - Sonstige DL;S - Sonstige DL;94-Int.vertr., rel. Verein. (o. Sozialw.,Sport);100
2020;S - Sonstige DL;S - Sonstige DL;95-Rep. von DVgeräten und Gebrauchsgütern;55
2020;S - Sonstige DL;S - Sonstige DL;96-sonstige überwiegend persönliche DL;2722
2020;X - übrige Wirtschaftszweige;A - Land- und Forstwirtschaft, Fischerei;01-Landwirtschaft,Jagd,damit verb. Tätigkeiten;70
2020;X - übrige Wirtschaftszweige;A - Land- und Forstwirtschaft, Fischerei;02-Forstwirtschaft und Holzeinschlag;8
2020;X - übrige Wirtschaftszweige;A - Land- und Forstwirtschaft, Fischerei;03-Fischerei und Aquakultur;3
2020;X - übrige Wirtschaftszweige;B - Bergbau u. Gewinn. v. Steinen u. Erden;08-Gewinn. v. Steinen+Erden, sonstiger Bergbau;10
2020;X - übrige Wirtschaftszweige;D - Energieversorgung;35-Energieversorgung;323
2020;X - übrige Wirtschaftszweige;E - Wass.vers - Abw.-/Abfallents.,Bes. v.Umw.verschm.;36-Wasserversorgung;1
2020;X - übrige Wirtschaftszweige;E - Wass.vers - Abw.-/Abfallents.,Bes. v.Umw.verschm.;37-Abwasserentsorgung;13
