Jahr;Quartal;Stadtbezirk mit zugeordneten Ortschaften;BedarfsGem. -insgesamt;BedarfsGem. -1 Person-;BedarfsGem. -2 Personen-;BedarfsGem. -3 u.mehr Personen-;Single-BG;Alleinerziehenden-BG;Partner-BG ohne Kinder;Partner-BG mit Kindern;BG mit Zahlungsanspruch Gesamtregelleistung;BG mit Zahlungsanspruch KdU;Personen in BG - insgesamt;Kinder in BG - insgesamt;Leistungsberechtigte (LB) - insgesamt;Nicht Leistungsberechtigte (NLB) - insgesamt;Regelleistungsberechtigte (RLB) - insgesamt;Erwerbsfähige Leistungsberechtigte (ELB) - insgesamt;Erwerbsfähige Leistungsberechtigte (ELB) - Männer;Erwerbsfähige Leistungsberechtigte (ELB) - Frauen;Erwerbsfähige Leistungsberechtigte (ELB) - Deutsche;Erwerbsfähige Leistungsberechtigte (ELB) - Ausländer;Erwerbsfähige Leistungsberechtigte (ELB) - unter 25 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 25 bis unter 35 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 35 bis unter 45 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 45 bis unter 55 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - über 55 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - alleinerziehend;Erwerbsfähige Leistungsberechtigte (ELB) - erwerbstätig;"Nichterwerbsfähige Leistungsberechtigte (NEF) - insgesamt ";Sonstige Leistungsberechtigte (SLB) - insgesamt
2023;4. Quartal;StB 7 Prohlis;3856;2289;661;906;2288;762;248;480;3854;3730;7240;2398;7008;232;6960;5028;2473;2555;2666;2362;1012;1105;1234;799;878;756;918;1932;48
2023;4. Quartal;StB 8 Plauen;1895;1063;308;524;1063;332;134;334;1895;1809;3873;1354;3769;104;3743;2627;1303;1324;1058;1569;543;586;647;418;433;330;561;1116;26
2023;4. Quartal;StB 9 Cotta/westliche Ortschaften;4111;2495;700;916;2493;796;280;490;4107;3951;7460;2381;7202;258;7165;5236;2596;2640;3166;2070;995;1116;1323;859;943;792;1105;1929;37
2023;4. Quartal;unbekannt;427;359;26;42;359;27;9;30;427;129;594;122;585;9;584;487;322;165;350;137;114;111;163;69;30;27;47;97;1
2024;1. Quartal;StB 0 Altstadt;3238;1948;558;732;1947;505;247;480;3235;3124;6045;1855;5876;169;5845;4296;2153;2143;1891;2405;889;961;971;705;770;504;919;1549;31
2024;1. Quartal;StB 1 Neustadt;2221;1536;333;352;1536;371;102;181;2221;2120;3521;924;3414;107;3390;2646;1449;1197;1709;937;485;637;709;426;389;366;636;744;24
2024;1. Quartal;StB 2 Pieschen;2160;1379;422;359;1379;448;128;163;2158;2064;3520;974;3404;116;3378;2588;1289;1299;2059;529;400;524;729;446;489;443;630;790;26
2024;1. Quartal;StB 3 Klotzsche/nördliche Ortschaften;436;297;76;63;297;96;18;18;436;405;672;181;650;22;643;505;271;234;374;131;70;90;135;88;122;96;89;138;7
2024;1. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;436;310;72;54;310;86;19;17;435;401;650;168;628;22;620;494;240;254;374;120;57;79;124;102;132;85;107;126;8
2024;1. Quartal;StB 5 Blasewitz;2197;1393;425;379;1393;410;153;194;2197;2130;3622;972;3505;117;3480;2699;1262;1437;1821;878;417;495;710;484;593;409;577;781;25
2024;1. Quartal;StB 6 Leuben;1429;813;314;302;813;357;84;152;1429;1387;2571;841;2491;80;2480;1790;789;1001;1299;491;321;367;447;268;387;356;345;690;11
2024;1. Quartal;StB 7 Prohlis;4001;2409;672;920;2409;752;253;501;4001;3865;7438;2402;7196;242;7143;5220;2603;2617;2697;2523;1085;1148;1274;832;881;750;923;1923;53
2024;1. Quartal;StB 8 Plauen;1902;1081;314;507;1081;332;135;315;1902;1818;3841;1306;3739;102;3718;2645;1324;1321;1074;1571;570;562;660;418;435;330;544;1073;21
2024;1. Quartal;StB 9 Cotta/westliche Ortschaften;4263;2625;715;923;2625;805;277;496;4263;4087;7707;2432;7441;266;7402;5441;2776;2665;3220;2221;1070;1197;1368;874;932;799;1055;1961;39
2024;1. Quartal;unbekannt;449;379;25;45;379;30;8;30;448;152;622;129;615;7;612;508;334;174;346;162;121;124;156;71;36;30;42;104;3
