Jahr;Stadtbezirk mit zugeordneten Ortschaften;Fahrzeugart;Kraftstoffart;Schadstoffgruppe für Kraftfahrzeuge (Umwelt-Plakette) nach Feinstaubverordnung;Anzahl
2008;unbekannt;PKW;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";3
2008;unbekannt;PKW;Diesel;Schadstoffgruppe 2 - Rot;18
2008;unbekannt;PKW;Diesel;Schadstoffgruppe 3 - Gelb;21
2008;unbekannt;PKW;Diesel;Schadstoffgruppe 4 - Grün;57
2008;unbekannt;Nutzfahrzeug;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";4
2008;unbekannt;Nutzfahrzeug;Benzin;Schadstoffgruppe 4 - Grün;3
2008;unbekannt;Nutzfahrzeug;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";54
2008;unbekannt;Nutzfahrzeug;Diesel;Schadstoffgruppe 2 - Rot;31
2008;unbekannt;Nutzfahrzeug;Diesel;Schadstoffgruppe 3 - Gelb;29
2008;unbekannt;Nutzfahrzeug;Diesel;Schadstoffgruppe 4 - Grün;24
2009;StB 0 Altstadt;PKW;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";154
2009;StB 0 Altstadt;PKW;Benzin;Schadstoffgruppe 4 - Grün;13847
2009;StB 0 Altstadt;PKW;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";89
2009;StB 0 Altstadt;PKW;Diesel;Schadstoffgruppe 2 - Rot;175
2009;StB 0 Altstadt;PKW;Diesel;Schadstoffgruppe 3 - Gelb;898
2009;StB 0 Altstadt;PKW;Diesel;Schadstoffgruppe 4 - Grün;2668
2009;StB 0 Altstadt;Nutzfahrzeug;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";34
2009;StB 0 Altstadt;Nutzfahrzeug;Benzin;Schadstoffgruppe 4 - Grün;120
2009;StB 0 Altstadt;Nutzfahrzeug;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";390
2009;StB 0 Altstadt;Nutzfahrzeug;Diesel;Schadstoffgruppe 2 - Rot;325
2009;StB 0 Altstadt;Nutzfahrzeug;Diesel;Schadstoffgruppe 3 - Gelb;735
2009;StB 0 Altstadt;Nutzfahrzeug;Diesel;Schadstoffgruppe 4 - Grün;846
2009;StB 1 Neustadt;PKW;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";198
2009;StB 1 Neustadt;PKW;Benzin;Schadstoffgruppe 4 - Grün;9491
2009;StB 1 Neustadt;PKW;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";192
2009;StB 1 Neustadt;PKW;Diesel;Schadstoffgruppe 2 - Rot;281
2009;StB 1 Neustadt;PKW;Diesel;Schadstoffgruppe 3 - Gelb;1091
2009;StB 1 Neustadt;PKW;Diesel;Schadstoffgruppe 4 - Grün;2647
2009;StB 1 Neustadt;Nutzfahrzeug;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";44
2009;StB 1 Neustadt;Nutzfahrzeug;Benzin;Schadstoffgruppe 4 - Grün;84
2009;StB 1 Neustadt;Nutzfahrzeug;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";356
2009;StB 1 Neustadt;Nutzfahrzeug;Diesel;Schadstoffgruppe 2 - Rot;176
2009;StB 1 Neustadt;Nutzfahrzeug;Diesel;Schadstoffgruppe 3 - Gelb;406
2009;StB 1 Neustadt;Nutzfahrzeug;Diesel;Schadstoffgruppe 4 - Grün;639
2009;StB 2 Pieschen;PKW;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";204
2009;StB 2 Pieschen;PKW;Benzin;Schadstoffgruppe 4 - Grün;14601
2009;StB 2 Pieschen;PKW;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";120
2009;StB 2 Pieschen;PKW;Diesel;Schadstoffgruppe 2 - Rot;280
2009;StB 2 Pieschen;PKW;Diesel;Schadstoffgruppe 3 - Gelb;1166
2009;StB 2 Pieschen;PKW;Diesel;Schadstoffgruppe 4 - Grün;2300
2009;StB 2 Pieschen;Nutzfahrzeug;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";51
2009;StB 2 Pieschen;Nutzfahrzeug;Benzin;Schadstoffgruppe 4 - Grün;101
2009;StB 2 Pieschen;Nutzfahrzeug;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";381
2009;StB 2 Pieschen;Nutzfahrzeug;Diesel;Schadstoffgruppe 2 - Rot;257
2009;StB 2 Pieschen;Nutzfahrzeug;Diesel;Schadstoffgruppe 3 - Gelb;595
2009;StB 2 Pieschen;Nutzfahrzeug;Diesel;Schadstoffgruppe 4 - Grün;710
2009;StB 3 Klotzsche/nördliche Ortschaften;PKW;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";202
2009;StB 3 Klotzsche/nördliche Ortschaften;PKW;Benzin;Schadstoffgruppe 4 - Grün;11262
2009;StB 3 Klotzsche/nördliche Ortschaften;PKW;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";98
2009;StB 3 Klotzsche/nördliche Ortschaften;PKW;Diesel;Schadstoffgruppe 2 - Rot;215
2009;StB 3 Klotzsche/nördliche Ortschaften;PKW;Diesel;Schadstoffgruppe 3 - Gelb;1012
2009;StB 3 Klotzsche/nördliche Ortschaften;PKW;Diesel;Schadstoffgruppe 4 - Grün;2228
2009;StB 3 Klotzsche/nördliche Ortschaften;Nutzfahrzeug;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";38
2009;StB 3 Klotzsche/nördliche Ortschaften;Nutzfahrzeug;Benzin;Schadstoffgruppe 4 - Grün;64
2009;StB 3 Klotzsche/nördliche Ortschaften;Nutzfahrzeug;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";339
2009;StB 3 Klotzsche/nördliche Ortschaften;Nutzfahrzeug;Diesel;Schadstoffgruppe 2 - Rot;174
2009;StB 3 Klotzsche/nördliche Ortschaften;Nutzfahrzeug;Diesel;Schadstoffgruppe 3 - Gelb;393
2009;StB 3 Klotzsche/nördliche Ortschaften;Nutzfahrzeug;Diesel;Schadstoffgruppe 4 - Grün;411
2009;StB 4 Loschwitz/OS Schönfeld-Weißig;PKW;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";234
2009;StB 4 Loschwitz/OS Schönfeld-Weißig;PKW;Benzin;Schadstoffgruppe 4 - Grün;11842
2009;StB 4 Loschwitz/OS Schönfeld-Weißig;PKW;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";103
2009;StB 4 Loschwitz/OS Schönfeld-Weißig;PKW;Diesel;Schadstoffgruppe 2 - Rot;261
2009;StB 4 Loschwitz/OS Schönfeld-Weißig;PKW;Diesel;Schadstoffgruppe 3 - Gelb;1081
2009;StB 4 Loschwitz/OS Schönfeld-Weißig;PKW;Diesel;Schadstoffgruppe 4 - Grün;2056
2009;StB 4 Loschwitz/OS Schönfeld-Weißig;Nutzfahrzeug;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";39
2009;StB 4 Loschwitz/OS Schönfeld-Weißig;Nutzfahrzeug;Benzin;Schadstoffgruppe 4 - Grün;68
2009;StB 4 Loschwitz/OS Schönfeld-Weißig;Nutzfahrzeug;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";398
2009;StB 4 Loschwitz/OS Schönfeld-Weißig;Nutzfahrzeug;Diesel;Schadstoffgruppe 2 - Rot;142
2009;StB 4 Loschwitz/OS Schönfeld-Weißig;Nutzfahrzeug;Diesel;Schadstoffgruppe 3 - Gelb;308
2009;StB 4 Loschwitz/OS Schönfeld-Weißig;Nutzfahrzeug;Diesel;Schadstoffgruppe 4 - Grün;259
2009;StB 5 Blasewitz;PKW;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";343
2009;StB 5 Blasewitz;PKW;Benzin;Schadstoffgruppe 4 - Grün;25947
2009;StB 5 Blasewitz;PKW;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";150
2009;StB 5 Blasewitz;PKW;Diesel;Schadstoffgruppe 2 - Rot;346
2009;StB 5 Blasewitz;PKW;Diesel;Schadstoffgruppe 3 - Gelb;1688
2009;StB 5 Blasewitz;PKW;Diesel;Schadstoffgruppe 4 - Grün;3632
2009;StB 5 Blasewitz;Nutzfahrzeug;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";35
2009;StB 5 Blasewitz;Nutzfahrzeug;Benzin;Schadstoffgruppe 4 - Grün;160
2009;StB 5 Blasewitz;Nutzfahrzeug;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";240
2009;StB 5 Blasewitz;Nutzfahrzeug;Diesel;Schadstoffgruppe 2 - Rot;174
2009;StB 5 Blasewitz;Nutzfahrzeug;Diesel;Schadstoffgruppe 3 - Gelb;366
2009;StB 5 Blasewitz;Nutzfahrzeug;Diesel;Schadstoffgruppe 4 - Grün;421
2009;StB 6 Leuben;PKW;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";162
2009;StB 6 Leuben;PKW;Benzin;Schadstoffgruppe 4 - Grün;13296
2009;StB 6 Leuben;PKW;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";51
2009;StB 6 Leuben;PKW;Diesel;Schadstoffgruppe 2 - Rot;192
2009;StB 6 Leuben;PKW;Diesel;Schadstoffgruppe 3 - Gelb;882
2009;StB 6 Leuben;PKW;Diesel;Schadstoffgruppe 4 - Grün;1486
2009;StB 6 Leuben;Nutzfahrzeug;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";25
2009;StB 6 Leuben;Nutzfahrzeug;Benzin;Schadstoffgruppe 4 - Grün;63
2009;StB 6 Leuben;Nutzfahrzeug;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";222
2009;StB 6 Leuben;Nutzfahrzeug;Diesel;Schadstoffgruppe 2 - Rot;112
2009;StB 6 Leuben;Nutzfahrzeug;Diesel;Schadstoffgruppe 3 - Gelb;280
2009;StB 6 Leuben;Nutzfahrzeug;Diesel;Schadstoffgruppe 4 - Grün;278
2009;StB 7 Prohlis;PKW;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";222
2009;StB 7 Prohlis;PKW;Benzin;Schadstoffgruppe 4 - Grün;17927
2009;StB 7 Prohlis;PKW;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";89
2009;StB 7 Prohlis;PKW;Diesel;Schadstoffgruppe 2 - Rot;279
2009;StB 7 Prohlis;PKW;Diesel;Schadstoffgruppe 3 - Gelb;1155
2009;StB 7 Prohlis;PKW;Diesel;Schadstoffgruppe 4 - Grün;2505
2009;StB 7 Prohlis;Nutzfahrzeug;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";42
2009;StB 7 Prohlis;Nutzfahrzeug;Benzin;Schadstoffgruppe 4 - Grün;104
2009;StB 7 Prohlis;Nutzfahrzeug;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";359
2009;StB 7 Prohlis;Nutzfahrzeug;Diesel;Schadstoffgruppe 2 - Rot;185
2009;StB 7 Prohlis;Nutzfahrzeug;Diesel;Schadstoffgruppe 3 - Gelb;450
2009;StB 7 Prohlis;Nutzfahrzeug;Diesel;Schadstoffgruppe 4 - Grün;520
2009;StB 8 Plauen;PKW;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";242
2009;StB 8 Plauen;PKW;Benzin;Schadstoffgruppe 4 - Grün;15201
2009;StB 8 Plauen;PKW;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";86
2009;StB 8 Plauen;PKW;Diesel;Schadstoffgruppe 2 - Rot;222
2009;StB 8 Plauen;PKW;Diesel;Schadstoffgruppe 3 - Gelb;1126
2009;StB 8 Plauen;PKW;Diesel;Schadstoffgruppe 4 - Grün;2887
2009;StB 8 Plauen;Nutzfahrzeug;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";29
2009;StB 8 Plauen;Nutzfahrzeug;Benzin;Schadstoffgruppe 4 - Grün;128
2009;StB 8 Plauen;Nutzfahrzeug;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";271
2009;StB 8 Plauen;Nutzfahrzeug;Diesel;Schadstoffgruppe 2 - Rot;184
2009;StB 8 Plauen;Nutzfahrzeug;Diesel;Schadstoffgruppe 3 - Gelb;446
2009;StB 8 Plauen;Nutzfahrzeug;Diesel;Schadstoffgruppe 4 - Grün;788
2009;StB 9 Cotta/westliche Ortschaften;PKW;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";349
2009;StB 9 Cotta/westliche Ortschaften;PKW;Benzin;Schadstoffgruppe 4 - Grün;25159
2009;StB 9 Cotta/westliche Ortschaften;PKW;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";139
2009;StB 9 Cotta/westliche Ortschaften;PKW;Diesel;Schadstoffgruppe 2 - Rot;421
2009;StB 9 Cotta/westliche Ortschaften;PKW;Diesel;Schadstoffgruppe 3 - Gelb;1834
2009;StB 9 Cotta/westliche Ortschaften;PKW;Diesel;Schadstoffgruppe 4 - Grün;3293
2009;StB 9 Cotta/westliche Ortschaften;Nutzfahrzeug;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";76
2009;StB 9 Cotta/westliche Ortschaften;Nutzfahrzeug;Benzin;Schadstoffgruppe 4 - Grün;113
2009;StB 9 Cotta/westliche Ortschaften;Nutzfahrzeug;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";454
2009;StB 9 Cotta/westliche Ortschaften;Nutzfahrzeug;Diesel;Schadstoffgruppe 2 - Rot;312
2009;StB 9 Cotta/westliche Ortschaften;Nutzfahrzeug;Diesel;Schadstoffgruppe 3 - Gelb;523
2009;StB 9 Cotta/westliche Ortschaften;Nutzfahrzeug;Diesel;Schadstoffgruppe 4 - Grün;598
2009;unbekannt;PKW;Benzin;"Schadstoffgruppe 1 - ohne Plakette  ";17
2009;unbekannt;PKW;Benzin;Schadstoffgruppe 4 - Grün;244
2009;unbekannt;PKW;Diesel;"Schadstoffgruppe 1 - ohne Plakette  ";3
2009;unbekannt;PKW;Diesel;Schadstoffgruppe 2 - Rot;14
2009;unbekannt;PKW;Diesel;Schadstoffgruppe 3 - Gelb;22
