Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Baujahrgr-18-45-69-90-;Gebäudeart;Anzahl Wohnungen;Anzahl leerstehende Wohnungen
1999;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1946 - 1969;Mehrfamilienhaus;658;46
1999;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1970 - 1990;Eigenheim;2;0
1999;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1970 - 1990;Mehrfamilienhaus;729;26
1999;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;ab 1991;Eigenheim;27;4
1999;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;ab 1991;Mehrfamilienhaus;1526;347
1999;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;" bis 1918";Eigenheim;114;15
1999;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;" bis 1918";Mehrfamilienhaus;1280;509
1999;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1919 - 1945;Eigenheim;391;11
1999;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1919 - 1945;Mehrfamilienhaus;757;211
1999;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1946 - 1969;Eigenheim;24;0
1999;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1946 - 1969;Mehrfamilienhaus;333;46
1999;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1970 - 1990;Eigenheim;19;0
1999;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;ab 1991;Eigenheim;37;5
1999;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;ab 1991;Mehrfamilienhaus;125;19
1999;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;" bis 1918";Eigenheim;99;12
1999;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;" bis 1918";Mehrfamilienhaus;1753;591
1999;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1919 - 1945;Eigenheim;439;7
1999;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1919 - 1945;Mehrfamilienhaus;2607;457
1999;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1946 - 1969;Eigenheim;7;0
1999;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1946 - 1969;Mehrfamilienhaus;130;5
1999;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1970 - 1990;Eigenheim;10;1
1999;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;ab 1991;Eigenheim;18;1
1999;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;ab 1991;Mehrfamilienhaus;326;74
1999;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;" bis 1918";Eigenheim;120;18
1999;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;" bis 1918";Mehrfamilienhaus;3576;1312
1999;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1919 - 1945;Eigenheim;206;6
1999;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1919 - 1945;Mehrfamilienhaus;1571;281
1999;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1946 - 1969;Eigenheim;22;1
1999;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1946 - 1969;Mehrfamilienhaus;80;21
1999;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1970 - 1990;Eigenheim;25;0
1999;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1970 - 1990;Mehrfamilienhaus;220;18
1999;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;ab 1991;Eigenheim;7;2
1999;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;ab 1991;Mehrfamilienhaus;1140;390
1999;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;" bis 1918";Eigenheim;363;18
1999;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;" bis 1918";Mehrfamilienhaus;1093;399
1999;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1919 - 1945;Eigenheim;466;17
1999;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1919 - 1945;Mehrfamilienhaus;672;148
1999;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1946 - 1969;Eigenheim;34;0
1999;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1946 - 1969;Mehrfamilienhaus;176;42
1999;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1970 - 1990;Eigenheim;59;1
1999;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1970 - 1990;Mehrfamilienhaus;2523;231
1999;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;ab 1991;Eigenheim;209;49
1999;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;ab 1991;Mehrfamilienhaus;1458;326
1999;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;" bis 1918";Eigenheim;708;39
1999;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;" bis 1918";Mehrfamilienhaus;353;107
1999;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1919 - 1945;Eigenheim;790;31
1999;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1919 - 1945;Mehrfamilienhaus;235;44
1999;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1946 - 1969;Eigenheim;128;6
1999;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1946 - 1969;Mehrfamilienhaus;4;1
1999;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1970 - 1990;Eigenheim;162;3
1999;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1970 - 1990;Mehrfamilienhaus;56;23
1999;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;ab 1991;Eigenheim;249;39
1999;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;ab 1991;Mehrfamilienhaus;121;46
1999;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;" bis 1918";Eigenheim;559;20
1999;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;" bis 1918";Mehrfamilienhaus;188;71
