Jahr;Quartal;Monat;Wirtschaftszweig 2-Steller;Auftragseingang insgesamt (in 1000 EUR);Auftragseingang Ausland (in 1000 EUR);Auftragseingang Eurozone (in 1000 EUR);Umsatz insgesamt aus Auftragseingang (in 1000 EUR);Umsatz Ausland aus Auftragseingang (in 1000 EUR);Umsatz Eurozone aus Auftragseingang (in 1000 EUR)
2017;1. Quartal;02;25-Herst. von Metallerzeugnissen;9608;1604;1375;12715;1182;944
2017;1. Quartal;02;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;229658;-;-;210185;-;-
2017;1. Quartal;02;27-Herst. von elektrischen Ausrüstungen;21375;4673;1132;21886;10055;3182
2017;1. Quartal;02;28-Maschinenbau;51258;39689;18704;33437;17334;2912
2017;1. Quartal;02;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2017;1. Quartal;02;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2017;1. Quartal;03;Verarbeitendes Gewerbe gesamt;431694;227034;168308;417555;239900;178505
2017;1. Quartal;03;13-Herst. von Textilien;0;0;0;-;-;-
2017;1. Quartal;03;20-Herst. von chemischen Erzeugnissen;8027;3946;2155;7025;3124;2073
2017;1. Quartal;03;21-Herst. von pharmazeutischen Erzeugnissen;25802;-;-;27364;-;-
2017;1. Quartal;03;25-Herst. von Metallerzeugnissen;11199;928;603;10321;1407;1042
2017;1. Quartal;03;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;255926;159085;138910;264459;172358;146889
2017;1. Quartal;03;27-Herst. von elektrischen Ausrüstungen;34222;15889;1727;27893;12904;2482
2017;1. Quartal;03;28-Maschinenbau;49892;22176;3172;50228;24959;3816
2017;1. Quartal;03;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2017;1. Quartal;03;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2017;2. Quartal;04;Verarbeitendes Gewerbe gesamt;451671;290926;160082;354343;201607;141172
2017;2. Quartal;04;13-Herst. von Textilien;-;-;-;-;-;-
2017;2. Quartal;04;20-Herst. von chemischen Erzeugnissen;6880;3023;1952;7160;3136;2088
