Jahresquartal;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;AltK_13IRB-2-5-9-14-17-24-29-44-59-64-74-84-;Geschlecht;Anzahl Einwohner
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;15 - 17 Jahre;männlich;555
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;15 - 17 Jahre;weiblich;534
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;18 - 24 Jahre;männlich;1453
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;18 - 24 Jahre;weiblich;1501
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;25 - 29 Jahre;männlich;1062
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;25 - 29 Jahre;weiblich;1059
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;30 - 44 Jahre;männlich;3574
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;30 - 44 Jahre;weiblich;3431
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;45 - 59 Jahre;männlich;2965
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;45 - 59 Jahre;weiblich;3595
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;60 - 64 Jahre;männlich;1676
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;60 - 64 Jahre;weiblich;2076
