Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Anzahl Einwohner;Anzahl Haushalte
2001;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;316;140
2001;91 Cotta;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;676;298
2001;92 Löbtau-Nord;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;552;226
2001;93 Löbtau-Süd;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;654;279
2001;94 Naußlitz;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;374;168
2001;95 Gorbitz-Süd;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;500;203
2001;96 Gorbitz-Ost;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;356;149
2001;97 Gorbitz-Nord/Neu-Omsewitz;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;786;318
2001;98 Briesnitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;504;222
2001;99 Altfranken/Gompitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;85;38
2002;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;62;27
2002;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;241;101
2002;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;204;91
2002;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;311;133
2002;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;350;140
2002;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;649;266
2002;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;514;226
2002;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1101;474
2002;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;525;220
2002;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;313;130
2002;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;710;303
2002;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;97;45
2002;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;781;326
2002;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;728;312
2002;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;315;137
2002;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;534;229
2002;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;780;315
2002;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;655;281
2002;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;269;114
2002;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;206;89
2002;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;142;61
2002;41 Loschwitz/Wachwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;225;97
2002;42 Bühlau/Weißer Hirsch;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;454;194
2002;43 Hosterwitz/Pillnitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;170;69
2002;45 Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;209;85
2002;46 Gönnsdorf/Pappritz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;112;50
2002;47 Schönfeld/Schullwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;116;49
2002;51 Blasewitz;StB 5 Blasewitz;08 Blasewitz, Striesen;468;199
2002;52 Striesen-Ost;StB 5 Blasewitz;08 Blasewitz, Striesen;844;364
2002;53 Striesen-Süd;StB 5 Blasewitz;08 Blasewitz, Striesen;517;222
2002;54 Striesen-West;StB 5 Blasewitz;08 Blasewitz, Striesen;586;253
2002;55 Tolkewitz/Seidnitz-Nord;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;796;339
2002;56 Seidnitz/Dobritz;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;749;327
2002;57 Gruna;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;519;219
2002;61 Leuben;StB 6 Leuben;10 StB Leuben;812;342
2002;62 Laubegast;StB 6 Leuben;10 StB Leuben;546;234
2002;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;315;139
2002;64 Großzschachwitz;StB 6 Leuben;10 StB Leuben;310;126
2002;71 Prohlis-Nord;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);350;147
2002;72 Prohlis-Süd;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);456;175
2002;73 Niedersedlitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);463;191
2002;74 Lockwitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);249;108
2002;75 Leubnitz-Neuostra;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);673;288
2002;76 Strehlen;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);461;179
2002;76 Strehlen;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);276;118
2002;77 Reick;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);374;141
2002;81 Südvorstadt-West;StB 8 Plauen;13 Südvorstadt, Zschertnitz;600;245
2002;82 Südvorstadt-Ost;StB 8 Plauen;13 Südvorstadt, Zschertnitz;202;82
2002;83 Räcknitz/Zschertnitz;StB 8 Plauen;13 Südvorstadt, Zschertnitz;341;146
2002;84 Kleinpestitz/Mockritz;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;345;147
2002;85 Coschütz/Gittersee;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;250;109
2002;86 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;573;245
2002;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;351;152
2002;91 Cotta;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;716;316
2002;92 Löbtau-Nord;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;596;250
2002;93 Löbtau-Süd;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;703;293
2002;94 Naußlitz;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;419;186
2002;95 Gorbitz-Süd;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;466;186
2002;96 Gorbitz-Ost;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;331;142
2002;97 Gorbitz-Nord/Neu-Omsewitz;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;706;289
2002;98 Briesnitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;502;218
2002;99 Altfranken/Gompitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;100;44
2003;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;57;25
