Jahr;Stadtraum;Wegezweck;Anteil Weg nur zu Fuß;Anteil Weg mit Fahrrad;Anteil Weg mit Straßenbahn;Anteil Weg mit Bus (Stadtverk.);Anteil Weg mit Bus (Regionalverk.);Anteil Weg mit S-Bahn/Bahn AG;Anteil Weg mit Motorrad etc.;Anteil Weg als Pkw-Mitfahrer;Anteil Weg als Pkw-Selbstfahrer;Anteil Weg mit sonstigem Verkehrsmittel
2002;17 Briesnitz und westliche OS;Weg zum Einkaufen;3,4;4,6;4,9;5,8;0,8;1,2;1,4;13,2;64,3;0,4
2002;18 Dresden gesamt;Weg zur Arbeit;4,5;12,2;20,2;10,5;1,2;2,5;1,2;3,4;43,5;0,8
2002;18 Dresden gesamt;Weg zum Einkaufen;8;9,7;14,6;8;0,8;0,7;0,5;10,6;46,5;0,7
2007;01 StB Altstadt ohne Johannstadt;Weg zur Arbeit;8,3;14,6;25,6;12;2;5,4;0,8;5,2;22;4,2
2007;01 StB Altstadt ohne Johannstadt;Weg zum Einkaufen;10,1;14,4;28,2;10,8;1,2;1,7;0,2;8,5;22,6;2,3
2007;02 Johannstadt;Weg zur Arbeit;6,8;27,5;22,5;13,9;1,3;2,1;0,2;3,6;22,1;0
2007;02 Johannstadt;Weg zum Einkaufen;13;19,9;19,1;14,9;0,9;0,2;0,1;6,9;23,2;1,9
2007;03 StB Neustadt ohne Leipziger Vorstadt;Weg zur Arbeit;5;33,5;24,4;5,2;0,4;4,6;0,2;2,5;22,6;1,7
2007;03 StB Neustadt ohne Leipziger Vorstadt;Weg zum Einkaufen;6;30,8;20,4;5,9;0,4;0,9;0;6,2;28,6;0,9
2007;04 Leipziger Vorstadt, Pieschen;Weg zur Arbeit;2,5;21,4;21;9,4;1,8;9,1;0,8;2,9;30,8;0,3
2007;04 Leipziger Vorstadt, Pieschen;Weg zum Einkaufen;4,7;18,7;20;7,7;0,4;1,7;1;7,8;36,7;1,3
2007;05 Mickten, Kaditz, Trachau;Weg zur Arbeit;1,6;19,7;18,8;9,8;0,3;3,6;1,4;4,1;39,9;0,7
2007;05 Mickten, Kaditz, Trachau;Weg zum Einkaufen;3,4;15,9;14;10,7;0,5;2,4;0,2;11,2;39,8;1,9
2007;06 StB Klotzsche und nördliche OS;Weg zur Arbeit;5,7;11,5;14,9;6;1,6;6,5;3;3,7;47,1;0
2007;06 StB Klotzsche und nördliche OS;Weg zum Einkaufen;1,8;13,4;14,4;6,4;1,2;3,5;1,1;7,8;49,9;0,5
2007;07 StB Loschwitz und OS Schönfeld-Weißig;Weg zur Arbeit;1,2;11,6;13,3;12,4;2,9;2,4;2;3;50,9;0,2
2007;07 StB Loschwitz und OS Schönfeld-Weißig;Weg zum Einkaufen;2,5;10,1;13,6;11,4;1,1;1,1;1,5;6,6;52;0,1
2007;08 Blasewitz, Striesen;Weg zur Arbeit;3,7;22,5;18,1;6,4;0,3;1,1;1,4;4,3;40,8;1,3
2007;08 Blasewitz, Striesen;Weg zum Einkaufen;4,7;20;19,3;9,1;0,8;0,7;0,4;8,8;34,5;1,9
2007;09 Tolkewitz, Seidnitz, Gruna;Weg zur Arbeit;2,2;17,6;18,6;8,2;0,4;4,6;1;2,6;43,6;1,4
2007;09 Tolkewitz, Seidnitz, Gruna;Weg zum Einkaufen;7,6;18;14,9;10,7;1,3;0,9;0,5;7,9;37,4;0,8
2007;10 StB Leuben;Weg zur Arbeit;1;17;13,4;7,5;2;6,1;1,6;3,3;45;3
2007;10 StB Leuben;Weg zum Einkaufen;3,6;19;13,8;8,3;0,9;3,1;1,4;6,6;42,7;0,7
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Weg zur Arbeit;4,7;9,9;16,6;16,4;1,3;3,3;0,6;5,2;41,9;0
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Weg zum Einkaufen;6,2;10,3;21,8;13,9;1,2;1,7;0,2;9,8;33,1;1,8
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Weg zur Arbeit;0,5;14,9;13,3;17,5;1,6;5,4;1,6;2,3;42,7;0,2
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Weg zum Einkaufen;3,5;11,3;10,7;14,7;0,2;2,3;0,7;11,8;43,8;1
2007;13 Südvorstadt, Zschertnitz;Weg zur Arbeit;12,1;15,2;14;18,8;1,9;6,3;1;4;26,5;0,2
2007;13 Südvorstadt, Zschertnitz;Weg zum Einkaufen;4,9;9,9;19,6;18,8;1,6;0,6;0,5;6,3;35,9;1,8
2007;14 Mockritz, Coschütz, Plauen;Weg zur Arbeit;4,4;18,7;13,5;13,1;1,2;3;0,6;4,3;40,6;0,7
2007;14 Mockritz, Coschütz, Plauen;Weg zum Einkaufen;0,8;10,2;18,5;14,9;1,9;0,6;0,2;9,7;42,9;0,1
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;Weg zur Arbeit;3,8;15,2;19,4;14,1;1,5;5,6;0,4;3,9;34,6;1,4
