Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
2001;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1 Kind;4930;1576;1576
2001;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;2 Kinder;3464;1726;863
2001;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;3 u.m. Kinder;644;398;123
2002;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Kinder;19642;0;13463
2002;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Kind;3106;1096;1096
2002;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Kinder;1592;836;418
2002;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 u.m. Kinder;516;330;94
2002;StB 0 Altstadt;02 Johannstadt;0 Kinder;16426;0;10359
2002;StB 0 Altstadt;02 Johannstadt;1 Kind;3211;1121;1121
2002;StB 0 Altstadt;02 Johannstadt;2 Kinder;1787;932;466
2002;StB 0 Altstadt;02 Johannstadt;3 u.m. Kinder;513;330;100
2002;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;0 Kinder;18884;0;13764
2002;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Kind;4740;1712;1712
2002;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Kinder;3127;1612;806
2002;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 u.m. Kinder;1090;687;209
2002;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;0 Kinder;6266;0;4610
2002;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Kind;1693;602;602
2002;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Kinder;956;504;252
2002;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;354;223;67
2002;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;0 Kinder;12242;0;8468
2002;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1 Kind;3791;1345;1345
