Jahr;Herkunftsland_37Auspr;Herkunftsland_24Auspr;Herkunftsland_05Auspr;Herkunftsland_D/A;Tourismus_Ankünfte;Tourismus_Übernachtungen
2005;Österreich;Österreich;Europa ohne Deutschland;Ausland;13661;32282
2005;Polen;Polen;Europa ohne Deutschland;Ausland;4134;7627
2005;Schweden;Schweden;Europa ohne Deutschland;Ausland;6524;8991
2005;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;20986;53301
2005;Russland;Russland;Europa ohne Deutschland;Ausland;3764;8976
2005;Spanien;Spanien;Europa ohne Deutschland;Ausland;5230;10374
2005;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;3451;6276
2005;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1473;3004
2005;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;14757;33818
2005;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;7625;15949
2005;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;853;2268
2005;USA;USA;Amerika;Ausland;22780;59331
2005;Kanada;Kanada;Amerika;Ausland;2670;5625
2005;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;1163;2310
2005;Mittelamerika und Karibik;amerik. Länder (o.USA, Kanada);Amerika;Ausland;777;1533
2005;"sonst. südamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;1149;2246
2005;China;China;Asien;Ausland;1523;3134
2005;Israel;asiatische Länder (o.China, Japan);Asien;Ausland;1552;3615
2005;Japan;Japan;Asien;Ausland;25825;46633
2005;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;2154;3000
2005;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;817;1445
2005;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;428;1207
2005;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;3866;7946
2005;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;3447;7221
2005;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;1551;3180
2006;Deutschland;Deutschland;Deutschland;Deutschland;1365159;3012348
2006;Belgien;Belgien;Europa ohne Deutschland;Ausland;6162;13759
2006;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;5173;11478
2006;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1515;3036
2006;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;11312;24214
2006;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1226;2767
2006;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;791;1950
2006;Italien;Italien;Europa ohne Deutschland;Ausland;16185;28954
2006;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1058;2734
2006;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;13337;29162
2006;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2157;4120
2006;Österreich;Österreich;Europa ohne Deutschland;Ausland;16615;38239
2006;Polen;Polen;Europa ohne Deutschland;Ausland;4858;8981
2006;Schweden;Schweden;Europa ohne Deutschland;Ausland;6768;11242
2006;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;20916;52093
2006;Russland;Russland;Europa ohne Deutschland;Ausland;4422;10162
2006;Spanien;Spanien;Europa ohne Deutschland;Ausland;6515;13509
2006;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;4251;7112
2006;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1601;3067
2006;Ukraine;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;336;598
2006;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;17987;40390
2006;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;8196;16457
2006;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;966;2502
2006;USA;USA;Amerika;Ausland;27387;65754
2006;Kanada;Kanada;Amerika;Ausland;2997;6636
2006;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;1538;2843
2006;Mittelamerika und Karibik;amerik. Länder (o.USA, Kanada);Amerika;Ausland;1312;2700
2006;"sonst. südamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;1499;2769
2006;China;China;Asien;Ausland;2089;4998
2006;"Indien  ";asiatische Länder (o.China, Japan);Asien;Ausland;384;1001
2006;Israel;asiatische Länder (o.China, Japan);Asien;Ausland;2036;4339
2006;Japan;Japan;Asien;Ausland;24633;45748
2006;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;2170;3694
2006;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;893;2389
2006;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;498;1242
2006;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;2127;5558
2006;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;3704;7575
2006;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;1229;3025
2007;Deutschland;Deutschland;Deutschland;Deutschland;1268752;2799639
2007;Belgien;Belgien;Europa ohne Deutschland;Ausland;6923;16295
2007;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;6183;14267
2007;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1766;3928
2007;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;11266;26280
2007;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1488;3070
2007;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1063;2861
2007;Italien;Italien;Europa ohne Deutschland;Ausland;18049;30584
2007;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1209;3276
2007;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;14330;33697
2007;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2024;4336
2007;Österreich;Österreich;Europa ohne Deutschland;Ausland;17606;40298
2007;Polen;Polen;Europa ohne Deutschland;Ausland;6286;11467
2007;Schweden;Schweden;Europa ohne Deutschland;Ausland;5225;8362
2007;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;20743;52661
2007;Russland;Russland;Europa ohne Deutschland;Ausland;4377;11160
2007;Spanien;Spanien;Europa ohne Deutschland;Ausland;6626;15192
2007;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;4934;8519
2007;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;2087;4123
2007;Ukraine;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;501;1505
2007;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;17655;39854
2007;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;8528;20152
2007;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;1098;3354
2007;USA;USA;Amerika;Ausland;24679;63159
2007;Kanada;Kanada;Amerika;Ausland;2999;7076
2007;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;2400;4297
2007;Mittelamerika und Karibik;amerik. Länder (o.USA, Kanada);Amerika;Ausland;972;1877
