Ident;Straßenschlüssel;Straßenname;Ungerade Hausnummer von;Ungerade Hausnummer bis;Gerade Hausnummer von;Gerade Hausnummer bis;Stadtbezirk/Ortschaft;Gemarkung;Statistischer Bezirk;Finanzamtsbereich;PLZ;Bundestagswahlkreis;Landtagswahlkreis;Kommunalwahlkreis
5195;10194;"Walter-Peters-Straße               ";"    ";"    ";"    ";"    ";"Leuben              ";"Sporbitz                 ";646  Sporbitz;"Süd ";01259;158;"  ";"  "
5196;14025;"Waltherstraße                      ";"    ";"    ";"2   ";"    ";"Altstadt            ";"Dresden-Friedrichstadt   ";055  Friedrichst.(Ostragehege);"Süd ";01067;158;"  ";"  "
5197;14025;"Waltherstraße                      ";"5   ";"27  ";"    ";"    ";"Altstadt            ";"Dresden-Friedrichstadt   ";053  Friedrichst.(Klinikum);"Süd ";01067;158;"  ";"  "
5198;14025;"Waltherstraße                      ";"29a ";"31  ";"6   ";"36  ";"Altstadt            ";"Dresden-Friedrichstadt   ";054  Friedrichst.(Güterbahnhof);"Süd ";01067;158;"  ";"  "
5199;14025;"Waltherstraße                      ";"U   ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Friedrichstadt   ";051  Friedrichst.(Löbtauer Str);"Süd ";01159;158;"  ";"  "
5200;04038;"Warnemünder Straße                 ";"    ";"    ";"    ";"    ";"Klotzsche           ";"Wilschdorf               ";321  Wilschdorf;Nord;01109;159;"  ";"  "
5201;08031;"Wartburgstraße                     ";"1   ";"19  ";"    ";"    ";"Blasewitz           ";"Striesen                 ";544  Striesen-West(Löscherstr);"Süd ";01309;158;"  ";"  "
5202;08031;"Wartburgstraße                     ";"    ";"    ";"2   ";"22a ";"Blasewitz           ";"Striesen                 ";543  Striesen-West(Wormser Pl);"Süd ";01309;158;"  ";"  "
5203;08031;"Wartburgstraße                     ";"23  ";"35  ";"28  ";"50  ";"Blasewitz           ";"Striesen                 ";545  Striesen-West(Alemannenstr);"Süd ";01309;158;"  ";"  "
5204;14088;"Warthaer Straße                    ";"    ";"    ";"2   ";"26  ";"Cotta               ";"Cotta                    ";984  Briesnitz-Süd;"Süd ";01157;159;"  ";"  "
5205;14088;"Warthaer Straße                    ";"3   ";"37  ";"    ";"    ";"Cotta               ";"Cotta                    ";911  Cotta(Cossebauder Str);"Süd ";01157;159;"  ";"  "
5206;14088;"Warthaer Straße                    ";"    ";"    ";"28  ";"46  ";"Cotta               ";"Briesnitz                ";984  Briesnitz-Süd;"Süd ";01157;159;"  ";"  "
5207;14088;"Warthaer Straße                    ";"    ";"    ";"52  ";"    ";"Cotta               ";"Briesnitz                ";986  Leutewitz;"Süd ";01157;159;"  ";"  "
5208;14088;"Warthaer Straße                    ";"53  ";"79  ";"54  ";"68  ";"Cotta               ";"Leutewitz                ";986  Leutewitz;"Süd ";01157;159;"  ";"  "
5209;14088;"Warthaer Straße                    ";"    ";"    ";"70  ";"72  ";"Cotta               ";"Leutewitz                ";985  Alt-Omsewitz;"Süd ";01157;159;"  ";"  "
5210;14088;"Warthaer Straße                    ";"    ";"    ";"74  ";"140 ";"Cotta               ";"Omsewitz                 ";985  Alt-Omsewitz;"Süd ";01157;159;"  ";"  "
5211;14088;"Warthaer Straße                    ";"81  ";"91  ";"    ";"    ";"Cotta               ";"Omsewitz                 ";986  Leutewitz;"Süd ";01157;159;"  ";"  "
5212;14088;"Warthaer Straße                    ";"93  ";"159 ";"    ";"    ";"Cotta               ";"Omsewitz                 ";985  Alt-Omsewitz;"Süd ";01157;159;"  ";"  "
5213;10024;"Wasaplatz                          ";"    ";"    ";"    ";"    ";"Prohlis             ";"Strehlen                 ";761  Strehlen(August-Bebel-Str);"Süd ";01219;158;"  ";"  "
5214;10011;"Wasastraße                         ";"    ";"    ";"    ";"    ";"Prohlis             ";"Strehlen                 ";761  Strehlen(August-Bebel-Str);"Süd ";01219;158;"  ";"  "
5215;01002;"Washingtonstraße                   ";"    ";"    ";"8   ";"    ";"Pieschen            ";"Kaditz                   ";225  Mickten(Sternstr);Nord;01139;159;"  ";"  "
5216;01002;"Washingtonstraße                   ";"    ";"    ";"10  ";"14  ";"Pieschen            ";"Mickten                  ";225  Mickten(Sternstr);Nord;01139;159;"  ";"  "
5217;01002;"Washingtonstraße                   ";"    ";"    ";"16  ";"18  ";"Pieschen            ";"Mickten                  ";226  Mickten(Altmickten);Nord;01139;159;"  ";"  "
5218;01002;"Washingtonstraße                   ";"    ";"    ";"34  ";"40  ";"Pieschen            ";"Übigau                   ";227  Übigau;Nord;01139;159;"  ";"  "
5219;01002;"Washingtonstraße                   ";"57  ";"    ";"    ";"    ";"Pieschen            ";"Mickten                  ";226  Mickten(Altmickten);Nord;01139;159;"  ";"  "
5220;01002;"Washingtonstraße                   ";"59  ";"65  ";"    ";"    ";"Pieschen            ";"Übigau                   ";227  Übigau;Nord;01139;159;"  ";"  "
5221;01002;"Washingtonstraße                   ";"U   ";"    ";"    ";"    ";"Pieschen            ";"Kaditz                   ";231  Kaditz(Wächterstr);Nord;01139;159;"  ";"  "
5222;07009;"Wasserweg                          ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Loschwitz                ";412  Loschwitz(Körnerplatz);Nord;01326;159;"  ";"  "
5223;07116;"Wasserwerkstraße                   ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Hosterwitz               ";432  Hosterwitz;Nord;01326;159;"  ";"  "
5224;00197;"Webergasse                         ";"    ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";012  Innere Altstadt-West;"Süd ";01067;158;"  ";"  "
5225;11023;"Weberplatz                         ";"1   ";"3   ";"2   ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";824  Südvs.-Ost(Ackermannstr);"Süd ";01217;158;"  ";"  "
5226;11023;"Weberplatz                         ";"5   ";"    ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";825  Südvs.-Ost(Wundtstr);"Süd ";01217;158;"  ";"  "
5227;07158;"Weberweg                           ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Hosterwitz               ";432  Hosterwitz;Nord;01326;159;"  ";"  "
5228;09088;"Weesensteiner Straße               ";"1   ";"27  ";"4   ";"14  ";"Blasewitz           ";"Seidnitz                 ";558  Seidnitz-Nord(Schlottwtzr.Str);"Süd ";01277;158;"  ";"  "
5229;09088;"Weesensteiner Straße               ";"U   ";"    ";"    ";"    ";"Blasewitz           ";"Tolkewitz                ";553  Tolkewitz(Wilischstr);"Süd ";01279;158;"  ";"  "
5230;08027;"Wehlener Straße                    ";"1   ";"9   ";"4   ";"    ";"Blasewitz           ";"Blasewitz                ";517  Neugruna(Polenzstr);"Süd ";01279;158;"  ";"  "
5231;08027;"Wehlener Straße                    ";"    ";"    ";"10  ";"18  ";"Blasewitz           ";"Seidnitz                 ";558  Seidnitz-Nord(Schlottwtzr.Str);"Süd ";01279;158;"  ";"  "
5232;08027;"Wehlener Straße                    ";"13  ";"17  ";"    ";"    ";"Blasewitz           ";"Tolkewitz                ";559  Johannisfriedhof/Krematorium;"Süd ";01279;158;"  ";"  "
5233;08027;"Wehlener Straße                    ";"27  ";"33  ";"20  ";"68  ";"Blasewitz           ";"Tolkewitz                ";551  Tolkewitz(Wehlener Str);"Süd ";01279;158;"  ";"  "
5234;08027;"Wehlener Straße                    ";"37  ";"    ";"    ";"    ";"Blasewitz           ";"Tolkewitz                ";559  Johannisfriedhof/Krematorium;"Süd ";01279;158;"  ";"  "
5235;08027;"Wehlener Straße                    ";"U   ";"    ";"    ";"    ";"Leuben              ";"Laubegast                ";621  Laubegast-Nord/Alttolkewitz;"Süd ";01279;158;"  ";"  "
5236;06124;"Wehrsdorfer Straße                 ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Bühlau                   ";425  Bühlau(Neukircher Str);Nord;01324;159;"  ";"  "
5237;14144;"Weidentalstraße                    ";"7   ";"15b ";"4   ";"6   ";"Cotta               ";"Cotta                    ";915  Cotta(Sachsdorfer Str);"Süd ";01157;159;"  ";"  "
5238;14144;"Weidentalstraße                    ";"17  ";"33  ";"16  ";"32  ";"Cotta               ";"Cotta                    ";914  Cotta(Weidentalstr-Ost);"Süd ";01157;159;"  ";"  "
5239;14144;"Weidentalstraße                    ";"35  ";"73  ";"36  ";"76  ";"Cotta               ";"Cotta                    ";913  Cotta(Weidentalstr-West);"Süd ";01157;159;"  ";"  "
5240;06316;"Weidenweg                          ";"    ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Weißig                   ";451  Weißig (Heidestr./Marienbäder);Nord;01328;159;"  ";"  "
5241;14236;"Weideweg                           ";"    ";"    ";"    ";"    ";"Cotta               ";"Gorbitz                  ";957  Gorbitz-Süd(Wilsdr. Ring-West);"Süd ";01169;159;"  ";"  "
5242;03007;"Weimarische Straße                 ";"1   ";"15  ";"4   ";"20  ";"Pieschen            ";"Dresden-Neustadt         ";211  Leipziger Vs.(Weimarische Str);Nord;01127;159;"  ";"  "
5243;03007;"Weimarische Straße                 ";"27  ";"31  ";"28  ";"34  ";"Pieschen            ";"Dresden-Neustadt         ";212  Leipziger Vs.(Moritzburger St);Nord;01127;159;"  ";"  "
5244;04026;"Weinbergstraße                     ";"    ";"    ";"    ";"    ";"Pieschen            ";"Trachenberge             ";257  Trachenberge;Nord;01129;159;"  ";"  "
5245;14363;"Weinbergstraße (CB)                ";"    ";"    ";"    ";"    ";"Cossebaude          ";"Cossebaude               ";902  Cossebaude-Süd;"Süd ";01156;159;"  ";"  "
5246;07139;"Weinbergsweg                       ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Oberpoyritz              ";434  Oberpoyritz;Nord;01326;159;"  ";"  "
5247;04007;"Weinböhlaer Straße                 ";"    ";"    ";"2   ";"56  ";"Pieschen            ";"Dresden-Neustadt         ";251  Leipziger Vs.-NW(Liststr);Nord;01127;159;"  ";"  "
5248;04007;"Weinböhlaer Straße                 ";"3   ";"11  ";"    ";"    ";"Pieschen            ";"Pieschen                 ";252  Pieschen-Nord(Riesaer Str);Nord;01127;159;"  ";"  "
5249;04007;"Weinböhlaer Straße                 ";"15  ";"63  ";"    ";"    ";"Pieschen            ";"Pieschen                 ";254  Pieschen-Nord(Trachenbgr. Str);Nord;01127;159;"  ";"  "
5250;04007;"Weinböhlaer Straße                 ";"    ";"    ";"66  ";"74  ";"Neustadt            ";"Dresden-Neustadt         ";146  Leipziger Vs.(Oberer Hecht);Nord;01127;159;"  ";"  "
5251;04007;"Weinböhlaer Straße                 ";"69  ";"71  ";"    ";"    ";"Neustadt            ";"Pieschen                 ";146  Leipziger Vs.(Oberer Hecht);Nord;01127;159;"  ";"  "
5252;01029;"Weingartenweg                      ";"    ";"    ";"    ";"    ";"Pieschen            ";"Kaditz                   ";233  Kaditz(Altkaditz);Nord;01139;159;"  ";"  "
5253;06098;"Weinleite                          ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Loschwitz                ";411  Loschwitz(Schevenstr);Nord;01326;159;"  ";"  "
5254;00122;"Weinligstraße                      ";"    ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";044  Seevs.-West(Am See);"Süd ";01067;158;"  ";"  "
5255;06060;"Weintraubenstraße                  ";"    ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";134  Äußere Neust.(Hoyerswerd. Str);Nord;01099;159;"  ";"  "
5256;12062;"Weißbachstraße                     ";"    ";"    ";"    ";"    ";"Plauen              ";"Räcknitz                 ";831  Räcknitz(Alträcknitz);"Süd ";01069;158;"  ";"  "
5257;09162;"Weißdornstraße                     ";"1   ";"27  ";"    ";"    ";"Leuben              ";"Leuben                   ";613  Leuben(Kleinzschachwitzer Str);"Süd ";01257;158;"  ";"  "
5258;09162;"Weißdornstraße                     ";"    ";"    ";"2   ";"6   ";"Leuben              ";"Leuben                   ";641  Großzschachwitz(Alte Str);"Süd ";01257;158;"  ";"  "
5259;09162;"Weißdornstraße                     ";"    ";"    ";"8   ";"58  ";"Leuben              ";"Leuben                   ";613  Leuben(Kleinzschachwitzer Str);"Süd ";01257;158;"  ";"  "
5260;00187;"Weiße Gasse                        ";"    ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";011  Innere Altstadt-Ost;"Süd ";01067;158;"  ";"  "
5261;06126;"Weißenberger Straße                ";"1   ";"3b  ";"2   ";"16  ";"Loschwitz           ";"Bühlau                   ";425  Bühlau(Neukircher Str);Nord;01324;159;"  ";"  "
5262;06126;"Weißenberger Straße                ";"5   ";"29  ";"18b ";"36  ";"Loschwitz           ";"Bühlau                   ";424  Bühlau(Neubühlauer Str);Nord;01324;159;"  ";"  "
5263;07040;"Weißer-Hirsch-Straße               ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Rochwitz                 ";429  Neu-Rochwitz;Nord;01326;159;"  ";"  "
5264;14017;"Weißeritzstraße                    ";"3   ";"    ";"2   ";"4   ";"Altstadt            ";"Dresden-Friedrichstadt   ";055  Friedrichst.(Ostragehege);"Süd ";01067;158;"  ";"  "
5265;14017;"Weißeritzstraße                    ";"    ";"    ";"10  ";"    ";"Altstadt            ";"Dresden-Friedrichstadt   ";053  Friedrichst.(Klinikum);"Süd ";01067;158;"  ";"  "
5266;14017;"Weißeritzstraße                    ";"    ";"    ";"18  ";"54  ";"Altstadt            ";"Dresden-Friedrichstadt   ";052  Friedrichst.(Schäferstr);"Süd ";01067;158;"  ";"  "
5267;14017;"Weißeritzstraße                    ";"U   ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";041  Wilsdruffer Vs.(Ostra-Allee);"Süd ";01067;158;"  ";"  "
5268;07351;"Weißiger Landstraße                ";"1   ";"9   ";"2   ";"6   ";"Schönfeld-Weißig    ";"Gönnsdorf                ";461  Gönnsdorf;Nord;01328;159;"  ";"  "
5269;07351;"Weißiger Landstraße                ";"U   ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Weißig                   ";454  Weißig (Hauptstr.);Nord;01328;159;"  ";"  "
5270;06172;"Weißiger Straße                    ";"1   ";"7   ";"2   ";"16  ";"Langebrück          ";"Langebrück               ";361  Langebrück-Nord;Nord;01465;159;"  ";"  "
5271;06172;"Weißiger Straße                    ";"9   ";"    ";"    ";"    ";"Langebrück          ";"Dresdner Heide           ";362  Langebrück-Süd;Nord;01465;159;"  ";"  "
5272;06172;"Weißiger Straße                    ";"    ";"    ";"16a ";"22  ";"Langebrück          ";"Langebrück               ";362  Langebrück-Süd;Nord;01465;159;"  ";"  "
5273;07420;"Weißiger Straße (SW)               ";"    ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Schullwitz               ";472  Schullwitz;Nord;01328;159;"  ";"  "
5274;07066;"Weißiger Weg                       ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Bühlau                   ";427  Alt-Bühlau/Quohren;Nord;01324;159;"  ";"  "
5275;14079;"Weistropper Straße                 ";"1   ";"3   ";"4   ";"8   ";"Cotta               ";"Cotta                    ";984  Briesnitz-Süd;"Süd ";01157;159;"  ";"  "
5276;14079;"Weistropper Straße                 ";"5   ";"15  ";"10  ";"16  ";"Cotta               ";"Briesnitz                ";984  Briesnitz-Süd;"Süd ";01157;159;"  ";"  "
5277;14305;"Weistropper Straße (CB)            ";"    ";"    ";"    ";"    ";"Cossebaude          ";"Niederwartha             ";904  Niederwartha;"Süd ";01156;159;"  ";"  "
5278;14448;"Weistropper Weg                    ";"    ";"    ";"    ";"    ";"Gompitz             ";"Unkersdorf               ";997  Unkersdorf;"Süd ";01156;159;"  ";"  "
5279;06416;"Weixdorfer Rathausplatz            ";"    ";"    ";"    ";"    ";"Weixdorf            ";"Lausa                    ";353  Lausa (Alte Dr. Str./Schönburg;Nord;01108;159;"  ";"  "
5280;03052;"Weixdorfer Straße                  ";"    ";"    ";"2   ";"20  ";"Pieschen            ";"Pieschen                 ";253  Pieschen-Nord(Hellerauer Str);Nord;01129;159;"  ";"  "
5281;03052;"Weixdorfer Straße                  ";"3   ";"    ";"    ";"    ";"Pieschen            ";"Trachau                  ";241  Trachau(Cottbuser Str);Nord;01129;159;"  ";"  "
5282;03052;"Weixdorfer Straße                  ";"11  ";"19  ";"    ";"    ";"Pieschen            ";"Trachau                  ";242  Trachau(Wahnsdorfer Str);Nord;01129;159;"  ";"  "
5283;06556;"Weixdorfer Weg                     ";"1   ";"    ";"    ";"    ";"Schönborn           ";"Schönborn                ";364  Schönborn;Nord;01465;159;"  ";"  "
5284;06556;"Weixdorfer Weg                     ";"1a  ";"    ";"    ";"    ";"Langebrück          ";"Langebrück               ";361  Langebrück-Nord;Nord;01465;159;"  ";"  "
5285;06556;"Weixdorfer Weg                     ";"    ";"    ";"2   ";"18  ";"Schönborn           ";"Schönborn                ";364  Schönborn;Nord;01465;159;"  ";"  "
5286;11080;"Welschhufer Straße                 ";"    ";"    ";"    ";"    ";"Plauen              ";"Mockritz                 ";845  Altmockritz/Altpestitz;"Süd ";01217;158;"  ";"  "
5287;14109;"Weltestraße                        ";"    ";"    ";"    ";"    ";"Cotta               ";"Kemnitz                  ";982  Kemnitz;"Süd ";01157;159;"  ";"  "
5288;11178;"Welzelstraße                       ";"    ";"    ";"    ";"    ";"Prohlis             ";"Lockwitz                 ";742  Lockwitz;"Süd ";01257;158;"  ";"  "
5289;13075;"Wendel-Hipler-Straße               ";"1   ";"7   ";"    ";"    ";"Cotta               ";"Naußlitz                 ";941  Naußlitz-Nord;"Süd ";01159;159;"  ";"  "
5290;13075;"Wendel-Hipler-Straße               ";"13  ";"47  ";"    ";"    ";"Cotta               ";"Naußlitz                 ";943  Naußlitz-West;"Süd ";01159;159;"  ";"  "
5291;13075;"Wendel-Hipler-Straße               ";"    ";"    ";"36  ";"112 ";"Cotta               ";"Wölfnitz                 ";942  Wölfnitz;"Süd ";01159;159;"  ";"  "
5292;12190;"Werdauer Straße                    ";"1   ";"3   ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";811  Südvs.-West(Feldschlößchenstr);"Süd ";01069;158;"  ";"  "
5293;12190;"Werdauer Straße                    ";"    ";"    ";"4   ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";814  Südvs.-West(Eisenstuckst-West);"Süd ";01069;158;"  ";"  "
5294;01003;"Werftstraße                        ";"    ";"    ";"    ";"    ";"Pieschen            ";"Übigau                   ";227  Übigau;Nord;01139;159;"  ";"  "
5295;14059;"Werkstättenstraße                  ";"    ";"    ";"    ";"    ";"Cotta               ";"Cotta                    ";912  Cotta(Grillparzerplatz);"Süd ";01157;159;"  ";"  "
5296;10191;"Werkstraße                         ";"    ";"    ";"    ";"    ";"Leuben              ";"Großluga                 ";645  Großzschachwitz(Schweizstr);"Süd ";01259;158;"  ";"  "
5297;06204;"Werner-Hartmann-Straße             ";"    ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";152  Albertstadt-West;Nord;01099;159;"  ";"  "
5298;14043;"Wernerplatz                        ";"3   ";"    ";"    ";"    ";"Cotta               ";"Löbtau                   ";921  Löbtau-Nord(Ebertplatz);"Süd ";01159;159;"  ";"  "
5299;14043;"Wernerplatz                        ";"5   ";"    ";"    ";"    ";"Cotta               ";"Dresden-Friedrichstadt   ";916  Friedrichst.-SW(Fröbelstr);"Süd ";01159;159;"  ";"  "
5300;14044;"Wernerstraße                       ";"1   ";"31  ";"    ";"    ";"Cotta               ";"Löbtau                   ";921  Löbtau-Nord(Ebertplatz);"Süd ";01159;159;"  ";"  "
5301;14044;"Wernerstraße                       ";"    ";"    ";"6   ";"8   ";"Altstadt            ";"Löbtau                   ";051  Friedrichst.(Löbtauer Str);"Süd ";01159;158;"  ";"  "
5302;14044;"Wernerstraße                       ";"    ";"    ";"12  ";"24  ";"Cotta               ";"Löbtau                   ";921  Löbtau-Nord(Ebertplatz);"Süd ";01159;159;"  ";"  "
5303;14044;"Wernerstraße                       ";"35  ";"37  ";"26  ";"46  ";"Cotta               ";"Löbtau                   ";922  Löbtau-Nord(Altlöbtau);"Süd ";01159;159;"  ";"  "
5304;12066;"Westendring                        ";"3   ";"    ";"    ";"    ";"Plauen              ";"Kleinpestitz             ";841  Kleinpestitz(Muldaer Str);"Süd ";01187;158;"  ";"  "
5305;12066;"Westendring                        ";"    ";"    ";"4   ";"16  ";"Plauen              ";"Plauen                   ";867  Plauen(Friedrich-Hegel-Str);"Süd ";01187;158;"  ";"  "
5306;12066;"Westendring                        ";"    ";"    ";"18  ";"30  ";"Plauen              ";"Plauen                   ";868  Plauen(Hohenplauen);"Süd ";01187;158;"  ";"  "
5307;12066;"Westendring                        ";"U   ";"    ";"    ";"    ";"Plauen              ";"Räcknitz                 ";831  Räcknitz(Alträcknitz);"Süd ";01187;158;"  ";"  "
5308;12030;"Westendstraße                      ";"3   ";"19  ";"4   ";"20  ";"Plauen              ";"Plauen                   ";864  Plauen(Nöthnitzer Str);"Süd ";01187;158;"  ";"  "
5309;12030;"Westendstraße                      ";"21  ";"31  ";"22  ";"30  ";"Plauen              ";"Plauen                   ";867  Plauen(Friedrich-Hegel-Str);"Süd ";01187;158;"  ";"  "
5310;14086;"Weststraße                         ";"1   ";"19  ";"    ";"    ";"Cotta               ";"Leutewitz                ";986  Leutewitz;"Süd ";01157;159;"  ";"  "
5311;14086;"Weststraße                         ";"    ";"    ";"2   ";"10  ";"Cotta               ";"Leutewitz                ";985  Alt-Omsewitz;"Süd ";01157;159;"  ";"  "
5312;14086;"Weststraße                         ";"    ";"    ";"16  ";"    ";"Cotta               ";"Leutewitz                ";986  Leutewitz;"Süd ";01157;159;"  ";"  "
5313;14086;"Weststraße                         ";"21  ";"41  ";"20  ";"30  ";"Cotta               ";"Omsewitz                 ";986  Leutewitz;"Süd ";01157;159;"  ";"  "
5314;06121;"Wetroer Straße                     ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Bühlau                   ";424  Bühlau(Neubühlauer Str);Nord;01324;159;"  ";"  "
5315;00134;"Wettiner Platz                     ";"1   ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";042  Wilsdruffer Vs.(Ermischstr);"Süd ";01067;158;"  ";"  "
5316;00134;"Wettiner Platz                     ";"13  ";"13a ";"10  ";"10a ";"Altstadt            ";"Dresden-Altstadt 1       ";041  Wilsdruffer Vs.(Ostra-Allee);"Süd ";01067;158;"  ";"  "
5317;10122;"Wieckestraße                       ";"1   ";"5   ";"2   ";"4a  ";"Prohlis             ";"Reick                    ";771  Reick(Lohrmannstr);"Süd ";01237;158;"  ";"  "
5318;10122;"Wieckestraße                       ";"7   ";"81  ";"6   ";"80  ";"Prohlis             ";"Leubnitz-Neuostra        ";756  Leubnitz(Wieckestr);"Süd ";01237;158;"  ";"  "
5319;12028;"Wielandstraße                      ";"    ";"    ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";812  Südvs.-West(Schweizer Str);"Süd ";01069;158;"  ";"  "
5320;00005;"Wiener Platz                       ";"1   ";"1a  ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";032  Seevs.-Ost(Räcknitzstr);"Süd ";01069;158;"  ";"  "
5321;00005;"Wiener Platz                       ";"3   ";"    ";"4   ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";031  Seevs.-Ost(Prager Str);"Süd ";01069;158;"  ";"  "
5322;00005;"Wiener Platz                       ";"5   ";"5a  ";"4d  ";"4g  ";"Altstadt            ";"Dresden-Altstadt 1       ";046  Seevs.-West(Feldgasse);"Süd ";01069;158;"  ";"  "
5323;00005;"Wiener Platz                       ";"9   ";"11  ";"6   ";"12  ";"Altstadt            ";"Dresden-Altstadt 1       ";031  Seevs.-Ost(Prager Str);"Süd ";01069;158;"  ";"  "
5324;10008;"Wiener Straße                      ";"5b  ";"    ";"4   ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";032  Seevs.-Ost(Räcknitzstr);"Süd ";01069;158;"  ";"  "
5325;10008;"Wiener Straße                      ";"15  ";"    ";"10  ";"    ";"Altstadt            ";"Dresden-Altstadt 2       ";033  Seevs.-Ost(Lindengasse);"Süd ";01069;158;"  ";"  "
5326;10008;"Wiener Straße                      ";"33  ";"39  ";"    ";"    ";"Altstadt            ";"Strehlen                 ";034  Strehlen(Tiergartenstr);"Süd ";01069;158;"  ";"  "
5327;10008;"Wiener Straße                      ";"    ";"    ";"34  ";"38a ";"Altstadt            ";"Dresden-Altstadt 2       ";034  Strehlen(Tiergartenstr);"Süd ";01069;158;"  ";"  "
5328;10008;"Wiener Straße                      ";"    ";"    ";"40  ";"    ";"Altstadt            ";"Strehlen                 ";034  Strehlen(Tiergartenstr);"Süd ";01069;158;"  ";"  "
5329;10008;"Wiener Straße                      ";"    ";"    ";"40a ";"    ";"Altstadt            ";"Dresden-Altstadt 2       ";034  Strehlen(Tiergartenstr);"Süd ";01069;158;"  ";"  "
5330;10008;"Wiener Straße                      ";"41  ";"117 ";"    ";"    ";"Altstadt            ";"Strehlen                 ";034  Strehlen(Tiergartenstr);"Süd ";01219;158;"  ";"  "
5331;10008;"Wiener Straße                      ";"    ";"    ";"42  ";"46b ";"Altstadt            ";"Strehlen                 ";034  Strehlen(Tiergartenstr);"Süd ";01069;158;"  ";"  "
5332;10008;"Wiener Straße                      ";"    ";"    ";"48  ";"140 ";"Altstadt            ";"Strehlen                 ";034  Strehlen(Tiergartenstr);"Süd ";01219;158;"  ";"  "
5333;10008;"Wiener Straße                      ";"119 ";"123 ";"144 ";"158 ";"Blasewitz           ";"Strehlen                 ";579  Strehlen-Nordost(Basteistr);"Süd ";01219;158;"  ";"  "
5334;13025;"Wiesbadener Straße                 ";"1   ";"21  ";"2   ";"4c  ";"Cotta               ";"Löbtau                   ";933  Löbtau-Süd(Altfrankener Str);"Süd ";01159;159;"  ";"  "
5335;13025;"Wiesbadener Straße                 ";"    ";"    ";"10  ";"    ";"Cotta               ";"Löbtau                   ";944  Naußlitz-Süd;"Süd ";01159;159;"  ";"  "
5336;13025;"Wiesbadener Straße                 ";"    ";"    ";"14  ";"54  ";"Cotta               ";"Naußlitz                 ";944  Naußlitz-Süd;"Süd ";01159;159;"  ";"  "
5337;13025;"Wiesbadener Straße                 ";"29  ";"29c ";"    ";"    ";"Cotta               ";"Naußlitz                 ";945  Dölzschen;"Süd ";01159;159;"  ";"  "
5338;13025;"Wiesbadener Straße                 ";"33  ";"55  ";"    ";"    ";"Cotta               ";"Naußlitz                 ";944  Naußlitz-Süd;"Süd ";01159;159;"  ";"  "
5339;05058;"Wiesensteig                        ";"    ";"    ";"    ";"    ";"Klotzsche           ";"Hellerau                 ";322  Rähnitz;Nord;01109;159;"  ";"  "
5340;10060;"Wiesenstraße                       ";"    ";"    ";"    ";"    ";"Blasewitz           ";"Gruna                    ";578  Gruna(Karcherallee);"Süd ";01277;158;"  ";"  "
5341;06323;"Wiesenstraße (SW)                  ";"    ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Weißig                   ";451  Weißig (Heidestr./Marienbäder);Nord;01328;159;"  ";"  "
5342;00196;"Wiesentorstraße                    ";"    ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";132  Innere Neust.(Sarrasanistr);Nord;01097;159;"  ";"  "
5343;14364;"Wiesenweg (CB)                     ";"    ";"    ";"    ";"    ";"Cossebaude          ";"Cossebaude               ";902  Cossebaude-Süd;"Süd ";01156;159;"  ";"  "
5344;06557;"Wiesenweg (LB)                     ";"    ";"    ";"    ";"    ";"Langebrück          ";"Langebrück               ";362  Langebrück-Süd;Nord;01465;159;"  ";"  "
5345;06568;"Wiesenweg (SB)                     ";"    ";"    ";"    ";"    ";"Schönborn           ";"Schönborn                ";364  Schönborn;Nord;01465;159;"  ";"  "
