Ident;Straßenschlüssel;Straßenname;Ungerade Hausnummer von;Ungerade Hausnummer bis;Gerade Hausnummer von;Gerade Hausnummer bis;Stadtbezirk/Ortschaft;Gemarkung;Statistischer Bezirk;Finanzamtsbereich;PLZ;Bundestagswahlkreis;Landtagswahlkreis;Kommunalwahlkreis
3214;14219;"Limbacher Weg                      ";"    ";"    ";"2   ";"26  ";"Cotta               ";"Gorbitz                  ";952  Gorbitz-Süd(Wölfn. Ring-Ost);"Süd ";01169;159;"  ";"  "
3215;14219;"Limbacher Weg                      ";"    ";"    ";"28  ";"30  ";"Cotta               ";"Gorbitz                  ";953  Gorbitz-Süd(Wölfn. Ring-West);"Süd ";01169;159;"  ";"  "
3216;11026;"Lindenaustraße                     ";"    ";"    ";"2   ";"6   ";"Plauen              ";"Dresden-Altstadt 2       ";816  Südvs.-West(Schnorrstr-West);"Süd ";01069;158;"  ";"  "
3217;11026;"Lindenaustraße                     ";"5   ";"15  ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";813  Südvs.-West(Bayrische Str);"Süd ";01069;158;"  ";"  "
3218;11026;"Lindenaustraße                     ";"U   ";"    ";"    ";"    ";"Plauen              ";"Plauen                   ";822  Südvs.-Ost(Uhlandstr);"Süd ";01069;158;"  ";"  "
3219;11026;"Lindenaustraße                     ";"U   ";"    ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";821  Südvs.-Ost(Hochschulstr);"Süd ";01069;158;"  ";"  "
3220;00097;"Lindengasse                        ";"    ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";033  Seevs.-Ost(Lindengasse);"Süd ";01069;158;"  ";"  "
3221;14110;"Lindenheim                         ";"    ";"    ";"    ";"    ";"Cotta               ";"Kemnitz                  ";982  Kemnitz;"Süd ";01157;159;"  ";"  "
3222;14108;"Lindenplatz                        ";"    ";"    ";"    ";"    ";"Cotta               ";"Kemnitz                  ";982  Kemnitz;"Süd ";01157;159;"  ";"  "
3223;05128;"Lindenstraße                       ";"    ";"    ";"    ";"    ";"Klotzsche           ";"Klotzsche                ";311  Klotzsche(Altklotzsche);Nord;01109;159;"  ";"  "
3224;13135;"Lindenweg                          ";"    ";"    ";"    ";"    ";"Altfranken          ";"Altfranken               ";998  Altfranken;"Süd ";01156;159;"  ";"  "
3225;07352;"Lindenweg (SW)                     ";"    ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Gönnsdorf                ";461  Gönnsdorf;Nord;01328;159;"  ";"  "
