Jahr;Wahlbezirk;Stadtteil zus.;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;Wahl-Form;Wahlberechtigte;Wahlberechtigte mit WS;Wähler;Wähler mit WS;Stimmen gültig;Stimmen CDU;Stimmen SPD;Stimmen Die Linke;Stimmen Grüne;Stimmen FDP;Stimmen Rechte Parteien;Stimmen AfD;Stimmen Piraten;Stimmen sonstiger Parteien;Stimmen ungültig
1999;14200;14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;Wahlbezirk_Urne;864;61;368;0;360;183;38;86;33;4;9;0;0;7;8
1999;14300;14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;Wahlbezirk_Urne;815;77;319;1;314;158;36;57;37;3;10;0;0;13;5
1999;14400;14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;Wahlbezirk_Urne;1063;93;422;1;408;157;47;106;71;6;13;0;0;8;14
1999;14500;14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;Wahlbezirk_Urne;948;77;465;0;453;211;35;143;41;2;10;0;0;11;12
1999;14600;14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;Wahlbezirk_Urne;1300;134;718;0;713;387;70;166;37;7;13;0;0;33;5
1999;15300;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;670;63;299;0;294;163;17;86;9;1;8;0;0;10;5
1999;21000;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Brief;0;0;449;449;444;214;47;90;63;4;12;0;0;14;5
1999;21100;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;798;74;361;0;356;183;33;78;28;4;14;0;0;16;5
1999;21200;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;1242;109;565;0;548;309;48;122;29;4;16;0;0;20;17
1999;21300;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;1616;117;659;0;648;383;52;120;56;5;16;0;0;16;11
1999;21400;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;1030;110;436;0;426;241;32;84;45;3;7;0;0;14;10
1999;21500;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;936;59;406;0;405;222;29;91;29;8;6;0;0;20;1
1999;22000;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Brief;0;0;844;844;836;508;43;199;42;10;11;0;0;23;8
1999;22100;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1313;163;596;0;586;368;48;115;19;2;8;0;0;26;10
1999;22200;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1562;151;701;0;692;400;55;170;23;4;13;0;0;27;9
1999;22400;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1105;126;627;1;620;368;63;128;20;1;11;0;0;29;7
1999;22501;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;915;95;428;0;420;249;32;107;18;0;5;0;0;9;8
1999;22502;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1119;126;535;0;534;308;47;122;17;1;18;0;0;21;1
1999;22600;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1078;114;589;0;578;357;37;132;20;1;11;0;0;20;11
1999;22700;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;947;105;547;0;539;339;43;106;18;5;10;0;0;18;8
1999;23000;23 Kaditz;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Brief;0;0;361;361;359;229;28;72;13;3;7;0;0;7;2
1999;23100;23 Kaditz;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;953;76;466;0;457;278;29;98;12;4;11;0;0;25;9
1999;23200;23 Kaditz;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;790;91;329;0;321;182;22;84;12;2;8;0;0;11;8
1999;23300;23 Kaditz;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1370;136;811;0;806;525;53;156;20;11;11;0;0;30;5
1999;23400;23 Kaditz;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;716;76;406;0;392;255;23;84;4;2;9;0;0;15;14
1999;24000;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Brief;0;0;915;915;913;493;74;248;54;12;10;0;0;22;2
1999;24100;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1274;135;707;1;700;382;64;153;51;11;9;0;0;30;7
1999;24300;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1370;210;805;2;799;406;78;186;80;7;14;0;0;28;6
1999;24400;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;900;102;505;0;503;286;35;82;53;9;9;0;0;29;2
1999;24500;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1419;197;776;0;764;427;58;206;24;6;13;0;0;30;12
1999;24700;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1117;152;598;1;592;337;47;148;27;3;10;0;0;20;6
1999;24800;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1030;144;609;1;606;352;45;134;31;7;8;0;0;29;3
1999;25000;25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Brief;0;0;810;810;807;448;66;200;50;9;8;0;0;26;3
1999;25100;25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;645;53;303;0;295;155;31;72;14;3;10;0;0;10;8
1999;25200;25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;1500;132;737;0;725;439;46;160;27;5;24;0;0;24;12
1999;25300;25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;1466;181;771;0;762;423;60;192;44;5;12;0;0;26;9
1999;25400;25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;1582;163;732;0;718;402;54;167;42;4;20;0;0;29;14
1999;25500;25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;1086;95;463;0;460;273;28;91;32;4;9;0;0;23;3
1999;25700;25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;1410;209;725;1;723;355;58;223;32;8;21;0;0;26;2
1999;31001;31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Brief;0;0;625;625;620;349;45;164;23;6;10;0;0;23;5
1999;31002;31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Brief;0;0;532;532;532;347;39;100;25;4;4;0;0;13;0
1999;31100;31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;Wahlbezirk_Urne;1387;205;707;1;698;419;51;139;34;6;27;0;0;22;9
