Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Alter in Jahren bis 85 (über 85-Jährige werden Jahrgang 85 zugeordnet);Anzahl Einwohner
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;15 Jahre;243
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;16 Jahre;246
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;17 Jahre;208
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;18 Jahre;216
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;19 Jahre;294
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;20 Jahre;371
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;21 Jahre;502
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;22 Jahre;538
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;23 Jahre;640
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;24 Jahre;776
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;25 Jahre;1135
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;26 Jahre;1090
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;27 Jahre;1124
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;28 Jahre;1084
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;29 Jahre;1067
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;30 Jahre;1052
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;31 Jahre;1028
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;32 Jahre;968
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;33 Jahre;916
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;34 Jahre;857
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;35 Jahre;822
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;36 Jahre;830
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;37 Jahre;806
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;38 Jahre;733
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;39 Jahre;652
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;40 Jahre;553
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;41 Jahre;547
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;42 Jahre;464
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;43 Jahre;504
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;44 Jahre;548
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;45 Jahre;515
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;46 Jahre;485
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;47 Jahre;457
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;48 Jahre;486
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;49 Jahre;444
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;50 Jahre;423
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;51 Jahre;424
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;52 Jahre;395
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;53 Jahre;353
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;54 Jahre;358
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;55 Jahre;292
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;56 Jahre;286
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;57 Jahre;249
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;58 Jahre;230
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;59 Jahre;227
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;60 Jahre;217
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;61 Jahre;220
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;62 Jahre;218
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;63 Jahre;191
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;64 Jahre;180
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;65 Jahre;189
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;66 Jahre;185
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;67 Jahre;128
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;68 Jahre;162
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;69 Jahre;132
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;70 Jahre;140
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;71 Jahre;210
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;72 Jahre;208
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;73 Jahre;164
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;74 Jahre;202
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;75 Jahre;206
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;76 Jahre;207
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;77 Jahre;180
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;78 Jahre;147
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;79 Jahre;148
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;80 Jahre;147
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;81 Jahre;134
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;82 Jahre;100
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;83 Jahre;94
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;84 Jahre;100
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;85 Jahre u.älter;624
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;0 Jahre;204
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Jahre;201
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Jahre;171
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 Jahre;177
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;4 Jahre;168
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;5 Jahre;148
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;6 Jahre;145
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;7 Jahre;125
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;8 Jahre;121
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;9 Jahre;107
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;10 Jahre;101
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;11 Jahre;98
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;12 Jahre;89
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;13 Jahre;67
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;14 Jahre;65
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;15 Jahre;61
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;16 Jahre;55
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;17 Jahre;59
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;18 Jahre;67
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;19 Jahre;128
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;20 Jahre;185
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;21 Jahre;209
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;22 Jahre;244
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;23 Jahre;291
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;24 Jahre;286
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;25 Jahre;437
