Jahr;Quartal;Jahresquartal;Alter;Geschlecht;Anzahl Einwohner
2019;2. Quartal;20192;" 89 Jahre";weiblich;29
2016;3. Quartal;20163;103 Jahre;weiblich;1
2019;3. Quartal;20193;" 69 Jahre";weiblich;4
2020;1. Quartal;20201;105 Jahre;weiblich;1
2026;2. Quartal;20262;" 57 Jahre";weiblich;1
2018;4. Quartal;20184;" 89 Jahre";weiblich;27
2026;1. Quartal;20261;" 64 Jahre";weiblich;4
2024;3. Quartal;20243;" 96 Jahre";männlich;3
2024;3. Quartal;20243;"  0 Jahre";weiblich;1
2023;3. Quartal;20233;" 93 Jahre";weiblich;24
2017;2. Quartal;20172;" 25 Jahre";männlich;1
2017;2. Quartal;20172;" 83 Jahre";weiblich;15
2018;4. Quartal;20184;" 69 Jahre";männlich;7
2022;3. Quartal;20223;" 20 Jahre";männlich;1
2016;4. Quartal;20164;" 92 Jahre";männlich;6
2017;1. Quartal;20171;" 23 Jahre";männlich;1
2024;1. Quartal;20241;" 13 Jahre";männlich;1
2017;2. Quartal;20172;" 49 Jahre";weiblich;1
2016;1. Quartal;20161;" 91 Jahre";männlich;15
2020;4. Quartal;20204;"  0 Jahre";männlich;1
2025;4. Quartal;20254;" 67 Jahre";weiblich;1
2020;1. Quartal;20201;" 91 Jahre";weiblich;32
2024;3. Quartal;20243;" 38 Jahre";männlich;1
2020;3. Quartal;20203;" 49 Jahre";weiblich;1
2024;4. Quartal;20244;" 68 Jahre";weiblich;7
2016;2. Quartal;20162;" 61 Jahre";männlich;7
2020;4. Quartal;20204;" 34 Jahre";weiblich;1
2025;1. Quartal;20251;" 86 Jahre";männlich;41
2016;4. Quartal;20164;" 81 Jahre";weiblich;20
2020;1. Quartal;20201;" 38 Jahre";weiblich;1
2025;4. Quartal;20254;"  0 Jahre";männlich;1
2018;3. Quartal;20183;" 63 Jahre";weiblich;10
2016;3. Quartal;20163;" 92 Jahre";weiblich;25
2018;1. Quartal;20181;" 94 Jahre";männlich;9
2025;3. Quartal;20253;" 57 Jahre";männlich;2
2017;4. Quartal;20174;" 51 Jahre";weiblich;2
2019;3. Quartal;20193;" 79 Jahre";weiblich;29
2019;3. Quartal;20193;" 51 Jahre";männlich;1
2016;4. Quartal;20164;100 Jahre;weiblich;8
2019;1. Quartal;20191;" 64 Jahre";weiblich;8
2021;1. Quartal;20211;" 94 Jahre";weiblich;33
2023;4. Quartal;20234;" 72 Jahre";männlich;12
2023;4. Quartal;20234;" 46 Jahre";männlich;2
2025;4. Quartal;20254;" 59 Jahre";männlich;4
2023;2. Quartal;20232;" 68 Jahre";männlich;17
2017;1. Quartal;20171;" 65 Jahre";männlich;8
2025;4. Quartal;20254;" 60 Jahre";männlich;4
2024;4. Quartal;20244;" 57 Jahre";weiblich;1
2017;2. Quartal;20172;" 57 Jahre";männlich;4
2019;1. Quartal;20191;" 50 Jahre";weiblich;2
2021;2. Quartal;20212;" 93 Jahre";männlich;11
2020;4. Quartal;20204;" 64 Jahre";weiblich;8
2024;1. Quartal;20241;" 19 Jahre";weiblich;1
2024;3. Quartal;20243;" 88 Jahre";weiblich;47
2026;2. Quartal;20262;" 93 Jahre";weiblich;18
2018;2. Quartal;20182;" 53 Jahre";männlich;2
2022;3. Quartal;20223;" 83 Jahre";männlich;32
2016;2. Quartal;20162;" 46 Jahre";weiblich;1
2016;4. Quartal;20164;" 88 Jahre";weiblich;28
2019;4. Quartal;20194;" 58 Jahre";weiblich;5
2021;3. Quartal;20213;" 55 Jahre";männlich;3
2023;2. Quartal;20232;" 90 Jahre";männlich;24
2017;3. Quartal;20173;" 64 Jahre";männlich;11
2025;3. Quartal;20253;" 52 Jahre";weiblich;1
2026;1. Quartal;20261;"  0 Jahre";weiblich;2
2024;2. Quartal;20242;" 16 Jahre";männlich;1
2026;1. Quartal;20261;" 65 Jahre";weiblich;5
2017;2. Quartal;20172;" 77 Jahre";weiblich;26
2018;4. Quartal;20184;103 Jahre;weiblich;3
2018;1. Quartal;20181;" 41 Jahre";männlich;1
2025;1. Quartal;20251;" 52 Jahre";männlich;4
2023;1. Quartal;20231;" 87 Jahre";männlich;48
2025;2. Quartal;20252;" 75 Jahre";männlich;13
2023;3. Quartal;20233;" 60 Jahre";weiblich;8
2023;4. Quartal;20234;" 70 Jahre";männlich;17
2022;2. Quartal;20222;" 83 Jahre";männlich;28
2020;2. Quartal;20202;" 94 Jahre";männlich;10
2026;2. Quartal;20262;"  3 Jahre";männlich;1
2020;1. Quartal;20201;" 98 Jahre";weiblich;13
2017;1. Quartal;20171;" 45 Jahre";männlich;2
2024;2. Quartal;20242;" 86 Jahre";männlich;32
2026;2. Quartal;20262;" 62 Jahre";männlich;10
2020;4. Quartal;20204;" 86 Jahre";männlich;34
2019;3. Quartal;20193;" 96 Jahre";weiblich;17
2025;3. Quartal;20253;" 51 Jahre";männlich;1
2021;3. Quartal;20213;" 96 Jahre";weiblich;13
2022;1. Quartal;20221;" 52 Jahre";männlich;3
2022;3. Quartal;20223;" 77 Jahre";weiblich;18
2022;3. Quartal;20223;" 39 Jahre";männlich;1
2019;2. Quartal;20192;" 80 Jahre";weiblich;28
2017;2. Quartal;20172;" 60 Jahre";weiblich;2
2026;2. Quartal;20262;" 32 Jahre";weiblich;1
2017;4. Quartal;20174;" 65 Jahre";männlich;13
2021;2. Quartal;20212;" 73 Jahre";weiblich;9
2024;1. Quartal;20241;" 89 Jahre";männlich;40
2023;4. Quartal;20234;101 Jahre;männlich;5
2019;4. Quartal;20194;" 62 Jahre";weiblich;4
2020;3. Quartal;20203;" 69 Jahre";weiblich;10
2016;3. Quartal;20163;" 74 Jahre";weiblich;10
2017;4. Quartal;20174;" 91 Jahre";männlich;11
2018;4. Quartal;20184;" 99 Jahre";männlich;1
2020;4. Quartal;20204;" 48 Jahre";männlich;2
2025;1. Quartal;20251;" 60 Jahre";weiblich;7
2017;1. Quartal;20171;" 79 Jahre";weiblich;24
2023;1. Quartal;20231;" 92 Jahre";männlich;16
2025;4. Quartal;20254;" 77 Jahre";männlich;13
2018;1. Quartal;20181;" 59 Jahre";männlich;6
2016;1. Quartal;20161;" 60 Jahre";weiblich;6
2023;2. Quartal;20232;" 96 Jahre";männlich;2
2025;4. Quartal;20254;" 93 Jahre";weiblich;24
2018;1. Quartal;20181;102 Jahre;weiblich;3
2017;3. Quartal;20173;" 85 Jahre";weiblich;16
2018;2. Quartal;20182;" 94 Jahre";weiblich;23
2021;3. Quartal;20213;" 64 Jahre";weiblich;8
2020;3. Quartal;20203;" 58 Jahre";männlich;4
2021;4. Quartal;20214;" 74 Jahre";weiblich;14
2024;4. Quartal;20244;" 80 Jahre";weiblich;33
2022;4. Quartal;20224;" 86 Jahre";weiblich;52
2022;4. Quartal;20224;" 24 Jahre";männlich;1
2016;2. Quartal;20162;" 91 Jahre";männlich;6
2017;1. Quartal;20171;" 46 Jahre";männlich;3
2021;1. Quartal;20211;" 87 Jahre";männlich;31
2019;2. Quartal;20192;" 38 Jahre";männlich;1
2023;4. Quartal;20234;" 92 Jahre";weiblich;29
2017;1. Quartal;20171;100 Jahre;männlich;1
2020;4. Quartal;20204;" 58 Jahre";männlich;5
2022;2. Quartal;20222;" 55 Jahre";männlich;3
2021;4. Quartal;20214;" 95 Jahre";männlich;11
2021;3. Quartal;20213;" 44 Jahre";weiblich;1
2025;4. Quartal;20254;" 63 Jahre";männlich;10
2017;2. Quartal;20172;" 80 Jahre";männlich;27
2018;1. Quartal;20181;" 90 Jahre";weiblich;40
