Jahr;Stadtraum;Befindlichkeitsart;"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht"""
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Wohlbefinden;57,7;40;2,3
2007;13 Südvorstadt, Zschertnitz;Gesundheitszustand;58;36,9;5,1
2007;13 Südvorstadt, Zschertnitz;Wohlbefinden;54,1;42,8;3,1
2007;14 Mockritz, Coschütz, Plauen;Gesundheitszustand;63,3;32,5;4,2
2007;14 Mockritz, Coschütz, Plauen;Wohlbefinden;61,4;36,7;1,9
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gesundheitszustand;67,3;25,5;7,3
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;Wohlbefinden;63,8;32,6;3,6
2007;16 Gorbitz;Gesundheitszustand;51,8;42,9;5,3
2007;16 Gorbitz;Wohlbefinden;50,1;48,2;1,7
2007;17 Briesnitz und westliche OS;Gesundheitszustand;54;41,8;4,2
2007;17 Briesnitz und westliche OS;Wohlbefinden;58,1;38,9;2,9
2007;18 Dresden gesamt;Gesundheitszustand;57;37,2;5,9
2007;18 Dresden gesamt;Wohlbefinden;55,7;40,7;3,5
2010;01 StB Altstadt ohne Johannstadt;Gesundheitszustand;56,3;37,1;6,5
2010;01 StB Altstadt ohne Johannstadt;Wohlbefinden;56,5;39,9;3,6
2010;02 Johannstadt;Gesundheitszustand;55;36,2;8,8
2010;02 Johannstadt;Wohlbefinden;56,6;39,3;4
2010;03 StB Neustadt ohne Leipziger Vorstadt;Gesundheitszustand;67,8;29,9;2,3
2010;03 StB Neustadt ohne Leipziger Vorstadt;Wohlbefinden;62,8;33,4;3,9
2010;04 Leipziger Vorstadt, Pieschen;Gesundheitszustand;64,2;31,7;4,1
2010;04 Leipziger Vorstadt, Pieschen;Wohlbefinden;58,9;37,1;4
2010;05 Mickten, Kaditz, Trachau;Gesundheitszustand;59,5;35,1;5,4
2010;05 Mickten, Kaditz, Trachau;Wohlbefinden;56,3;40,2;3,4
2010;06 StB Klotzsche und nördliche OS;Gesundheitszustand;61,2;37;1,8
2010;06 StB Klotzsche und nördliche OS;Wohlbefinden;62,7;36;1,4
2010;07 StB Loschwitz und OS Schönfeld-Weißig;Gesundheitszustand;60,7;38,3;1
2010;07 StB Loschwitz und OS Schönfeld-Weißig;Wohlbefinden;68,2;30,2;1,6
2010;08 Blasewitz, Striesen;Gesundheitszustand;63;29,8;7,2
2010;08 Blasewitz, Striesen;Wohlbefinden;62,2;32,9;4,9
2010;09 Tolkewitz, Seidnitz, Gruna;Gesundheitszustand;47,5;47,1;5,4
2010;09 Tolkewitz, Seidnitz, Gruna;Wohlbefinden;55,3;41,5;3,2
2010;10 StB Leuben;Gesundheitszustand;52,9;39;8,1
2010;10 StB Leuben;Wohlbefinden;61,2;32,3;6,5
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gesundheitszustand;32,1;59,4;8,6
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Wohlbefinden;34;56,3;9,7
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gesundheitszustand;54,7;37,5;7,8
