Jahr;Quartal;Monat;Hauptgruppen (WZ 08);Anzahl Betriebe;Tätige Personen (absolut);"Tätige Personen (Anteil an Gesamtbeschäftigten; in Prozent)";Geleistete Arbeitsstunden (gesamt in 1000h);Geleistete Arbeitsstunden je tätiger Person;Brutto-Entgelte (in 1000 EUR);Brutto-Entgelte je tätiger Person;Gesamtumsatz (in 1000 EUR);"Umsatzanteil Ausland am Gesamtumsatz (absolut; in 1000 EUR)";"Umsatzanteil Eurozone am Gesamtumsatz (absolut; in 1000 EUR)";Gesamtumsatz je tätiger Person;"Umsatzanteil (Anteil an Gesamtsumme des Verarb. Gewerbes; in Prozent)";Umsatz aus eigenen Erzeugnissen gesamt (in 1000 EUR);Umsatz aus eigenen Erzeugnissen Ausland (in 1000 EUR);Umsatz aus eigenen Erzeugnissen je tätiger Person
2020;4. Quartal;12;A+EN Vorleistungsgüter und Energie;38;10881;41,5;1397;128;47907;4403;291200;195344;146436;26762;43,5;284233;191819;26122
2020;4. Quartal;12;B Investitionsgüter;61;10647;40,6;1071;101;40706;3823;292105;148572;75278;27435;43,7;283759;146201;26652
2020;4. Quartal;12;GG Gebrauchsgüter;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;4. Quartal;12;VG Verbrauchsgüter;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;4. Quartal;12;Verarbeitendes Gewerbe gesamt;126;26225;100;3017;115;105115;4008;668780;384244;252608;25502;100;647998;378102;24709
2021;1. Quartal;01;A+EN Vorleistungsgüter und Energie;38;10927;41,9;1528;140;50460;4618;204230;124929;19749;18690;51,6;198669;123243;18181
2021;1. Quartal;01;B Investitionsgüter;59;10476;40,2;1318;126;38165;3643;113207;65341;12499;10806;28,6;106551;63457;10171
2021;1. Quartal;01;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021;1. Quartal;01;VG Verbrauchsgüter;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021;1. Quartal;01;Verarbeitendes Gewerbe gesamt;123;26048;100;3423;131;103908;3989;395543;222384;53285;15185;100;378103;218494;14516
