Jahr;Stadtraum;Zeitfenster;"Anteil Benotung ""sehr gut""";"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht""";"Anteil Benotung ""sehr schlecht""";"Anteil Benotung ""nicht beurteilt"""
2002;03 StB Neustadt ohne Leipziger Vorstadt;vor einem Jahr;5;26,5;49,6;14,9;1,8;2,3
2002;03 StB Neustadt ohne Leipziger Vorstadt;heute;6,3;42,9;36,7;10,6;2;1,5
2002;03 StB Neustadt ohne Leipziger Vorstadt;in einem Jahr;4,3;14,7;50,7;11,8;3,7;14,7
2002;04 Leipziger Vorstadt, Pieschen;vor einem Jahr;3,3;19,7;52,5;18,5;6;0
2002;04 Leipziger Vorstadt, Pieschen;heute;1,8;42,6;40,8;9,9;5;0
2002;04 Leipziger Vorstadt, Pieschen;in einem Jahr;3,4;18,2;43;17,2;4,4;13,8
2002;05 Mickten, Kaditz, Trachau;vor einem Jahr;3;20,4;56,5;14,4;4,1;1,7
2002;05 Mickten, Kaditz, Trachau;heute;2;55,3;25,7;12,6;3,5;0,9
2002;05 Mickten, Kaditz, Trachau;in einem Jahr;2,1;13,4;48,3;16;5,6;14,6
2002;06 StB Klotzsche und nördliche OS;vor einem Jahr;5,6;29,4;48,8;14;1;1,2
2002;06 StB Klotzsche und nördliche OS;heute;5,4;46,6;39,1;5;2,2;1,7
2002;06 StB Klotzsche und nördliche OS;in einem Jahr;2,4;10,4;44,4;21,8;4,4;16,6
2002;07 StB Loschwitz und OS Schönfeld-Weißig;vor einem Jahr;3,7;21,9;57,9;11,5;3,6;1,3
2002;07 StB Loschwitz und OS Schönfeld-Weißig;heute;4;52,6;31,7;5,9;4,6;1,3
2002;07 StB Loschwitz und OS Schönfeld-Weißig;in einem Jahr;1,6;11,5;43,7;20,5;4,9;17,8
2002;08 Blasewitz, Striesen;vor einem Jahr;4,4;22,3;56,3;14,2;1,5;1,3
2002;08 Blasewitz, Striesen;heute;4,6;55;29,3;8,2;1,7;1,3
2002;08 Blasewitz, Striesen;in einem Jahr;3;8,9;53,2;16,5;3,8;14,6
2002;09 Tolkewitz, Seidnitz, Gruna;vor einem Jahr;4,7;24,9;59,1;7,2;3,1;1
2002;09 Tolkewitz, Seidnitz, Gruna;heute;3,8;46;38,9;6,6;4,8;0
2002;09 Tolkewitz, Seidnitz, Gruna;in einem Jahr;1,7;10,3;46;21,7;5,2;15,2
2002;10 StB Leuben;vor einem Jahr;3,1;25,7;56;13,7;0,9;0,5
2002;10 StB Leuben;heute;4,6;44,1;38,9;10,4;1,5;0,5
2002;10 StB Leuben;in einem Jahr;1,4;9,9;47,5;25,2;3,6;12,4
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);vor einem Jahr;3,3;19,9;54,7;13;5,9;3,2
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);heute;1,3;34,9;37,2;14,6;7;4,9
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);in einem Jahr;0;7,7;47,3;14,6;14,6;15,9
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);vor einem Jahr;3,2;18,3;61,2;11,6;2,4;3,3
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);heute;3,5;42,8;41,5;5,5;4,6;2,1
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);in einem Jahr;1,3;12,1;47,7;18,8;3,7;16,5
2002;13 Südvorstadt, Zschertnitz;vor einem Jahr;2,6;27,2;56,4;8,3;3,2;2,2
2002;13 Südvorstadt, Zschertnitz;heute;4,8;42,5;41,2;7,7;2;1,7
2002;13 Südvorstadt, Zschertnitz;in einem Jahr;1,4;9,6;46,2;22,3;1,3;19,2
2002;14 Mockritz, Coschütz, Plauen;vor einem Jahr;2,5;19;62,1;12,2;2,1;2,2
2002;14 Mockritz, Coschütz, Plauen;heute;2;53,2;32,4;8,6;2,1;1,7
2002;14 Mockritz, Coschütz, Plauen;in einem Jahr;3,8;11,4;44,3;23,8;5,1;11,7
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;vor einem Jahr;3,8;23,8;58,6;12;1,3;0,6
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;heute;3,2;40,3;47,1;5,4;3,4;0,6
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;in einem Jahr;1,6;11,1;56,1;15,3;4,9;11
2002;16 Gorbitz;vor einem Jahr;7,6;24,9;51,6;10,6;4,2;1
2002;16 Gorbitz;heute;1,7;36,7;37;15,2;5,6;3,8
2002;16 Gorbitz;in einem Jahr;3,5;7,7;33,2;23,5;10,6;21,5
2002;17 Briesnitz und westliche OS;vor einem Jahr;6,6;26,7;53,4;10,1;3,4;0
2002;17 Briesnitz und westliche OS;heute;6,4;55,2;25,2;8,9;3,7;0,6
2002;17 Briesnitz und westliche OS;in einem Jahr;0;11,7;54,3;17,9;2,1;14
2002;18 Dresden gesamt;vor einem Jahr;4,2;23,2;55,8;12,7;2,6;1,4
2002;18 Dresden gesamt;heute;3,6;45,9;36,9;8,7;3,5;1,5
2002;18 Dresden gesamt;in einem Jahr;2,1;10,8;47,3;19,6;5,1;15,1
2007;01 StB Altstadt ohne Johannstadt;vor einem Jahr;4;17,6;58,8;14,2;4;1,4
2007;01 StB Altstadt ohne Johannstadt;heute;3,3;39;38,4;12,4;5,3;1,5
2007;01 StB Altstadt ohne Johannstadt;in einem Jahr;2,8;16,3;41,2;18,1;8,6;13,1
2007;02 Johannstadt;vor einem Jahr;2,7;14,9;56,4;18,1;4,4;3,5
2007;02 Johannstadt;heute;1,6;40,7;38,7;9,6;5,2;4,1
2007;02 Johannstadt;in einem Jahr;0,7;8,6;40,6;25;9,5;15,6
2007;03 StB Neustadt ohne Leipziger Vorstadt;vor einem Jahr;2,6;17,8;51,2;20,2;6,4;1,9
2007;03 StB Neustadt ohne Leipziger Vorstadt;heute;4,2;40,3;37,8;13,1;3,1;1,5
2007;03 StB Neustadt ohne Leipziger Vorstadt;in einem Jahr;5,5;15,4;48;15,2;5,9;10
2007;04 Leipziger Vorstadt, Pieschen;vor einem Jahr;2,3;19,7;45,7;24,4;6,2;1,7
2007;04 Leipziger Vorstadt, Pieschen;heute;3,6;31,4;36,1;16,2;10,5;2,2
2007;04 Leipziger Vorstadt, Pieschen;in einem Jahr;5,8;17,1;34,9;14,9;9,7;17,5
2007;05 Mickten, Kaditz, Trachau;vor einem Jahr;5,3;18,1;52,3;19,4;4,9;0
2007;05 Mickten, Kaditz, Trachau;heute;1,5;38,9;40,3;16,5;2,8;0
2007;05 Mickten, Kaditz, Trachau;in einem Jahr;2,5;8,7;39;32,1;6,7;11
2007;06 StB Klotzsche und nördliche OS;vor einem Jahr;2,2;21,8;60,2;10,7;2,5;2,6
2007;06 StB Klotzsche und nördliche OS;heute;4,9;49,5;31;9,9;2,4;2,3
2007;06 StB Klotzsche und nördliche OS;in einem Jahr;1,3;5,9;54,5;18,9;5,1;14,2
2007;07 StB Loschwitz und OS Schönfeld-Weißig;vor einem Jahr;2,1;19,8;61,8;12;3,6;0,7
2007;07 StB Loschwitz und OS Schönfeld-Weißig;heute;5,9;42,4;39,7;7;4,3;0,7
2007;07 StB Loschwitz und OS Schönfeld-Weißig;in einem Jahr;0,8;8,3;49;24,3;6,2;11,5
2007;08 Blasewitz, Striesen;vor einem Jahr;3,8;24,1;56,3;12,3;3,1;0,5
2007;08 Blasewitz, Striesen;heute;6,6;46,6;38;7,1;1,3;0,4
2007;08 Blasewitz, Striesen;in einem Jahr;3,6;11,7;48,7;23,4;4,9;7,8
2007;09 Tolkewitz, Seidnitz, Gruna;vor einem Jahr;4,5;21;56,1;15;2,3;1,1
2007;09 Tolkewitz, Seidnitz, Gruna;heute;1,3;42,1;41,5;9,3;4;1,7
2007;09 Tolkewitz, Seidnitz, Gruna;in einem Jahr;1,3;10,9;45,1;26,6;6,6;9,4
2007;10 StB Leuben;vor einem Jahr;4,6;17,2;57,2;16,9;2,6;1,5
2007;10 StB Leuben;heute;2,8;47,8;37,7;8,4;1,9;1,5
